"familyURN","familyName",tsn
"urn:cite:botcar:family.Acanthaceae","Acanthaceae",34350
"urn:cite:botcar:family.Altingiaceae","Altingiaceae",895195
"urn:cite:botcar:family.Amaryllidaceae","Amaryllidaceae",182703
"urn:cite:botcar:family.Anacardiaceae","Anacardiaceae",28771
"urn:cite:botcar:family.Apiaceae","Apiaceae",500042
"urn:cite:botcar:family.Apocynaceae","Apocynaceae",30124
"urn:cite:botcar:family.Aquifoliaceae","Aquifoliaceae",27979
"urn:cite:botcar:family.Aristolochiaceae","Aristolochiaceae",18327
"urn:cite:botcar:family.Aspleniaceae","Aspleniaceae",500044
"urn:cite:botcar:family.Asteraceae","Asteraceae",35420
"urn:cite:botcar:family.Athyriaceae","Athyriaceae",to be added
"urn:cite:botcar:family.Balsaminaceae","Balsaminaceae",29180
"urn:cite:botcar:family.Berberidaceae","Berberidaceae",18811
"urn:cite:botcar:family.Betulaceae","Betulaceae",19465
"urn:cite:botcar:family.Bignoniaceae","Bignoniaceae",34305
"urn:cite:botcar:family.Blechnaceae","Blechnaceae",17861
"urn:cite:botcar:family.Boraginaceae","Boraginaceae",31633
"urn:cite:botcar:family.Brassicaceae","Brassicaceae",22669
"urn:cite:botcar:family.Calycanthaceae","Calycanthaceae",18138
"urn:cite:botcar:family.Campanulaceae","Campanulaceae",34471
"urn:cite:botcar:family.Caryophyllaceae","Caryophyllaceae",19942
"urn:cite:botcar:family.Clethraceae","Clethraceae",23452
"urn:cite:botcar:family.Commelinaceae","Commelinaceae",39123
"urn:cite:botcar:family.Convolvulaceae","Convolvulaceae",30648
"urn:cite:botcar:family.Cornaceae","Cornaceae",27796
"urn:cite:botcar:family.Cucurbitaceae","Cucurbitaceae",22337
"urn:cite:botcar:family.Cupressaceae","Cupressaceae",18042
"urn:cite:botcar:family.Cyperaceae","Cyperaceae",39357
"urn:cite:botcar:family.Cyrillaceae","Cyrillaceae",23444
"urn:cite:botcar:family.Dioscoreaceae","Dioscoreaceae",43365
"urn:cite:botcar:family.Dryopteridaceae","Dryopteridaceae",500057
"urn:cite:botcar:family.Ebenaceae","Ebenaceae",23852
"urn:cite:botcar:family.Ericaceae","Ericaceae",23463
"urn:cite:botcar:family.Eriocaulaceae","Eriocaulaceae",39193
"urn:cite:botcar:family.Euphorbiaceae","Euphorbiaceae",28031
