"genusURN","genusName",tsn
"urn:cite:botcar:genus.Acer","Acer",28727
"urn:cite:botcar:genus.Actaea","Actaea",18721
"urn:cite:botcar:genus.Agalinis","Agalinis",33006
"urn:cite:botcar:genus.Aletris","Aletris",42767
"urn:cite:botcar:genus.Allium","Allium",42634
"urn:cite:botcar:genus.Amianthium","Amianthium",42774
"urn:cite:botcar:genus.Amorpha","Amorpha",25367
"urn:cite:botcar:genus.Ampelaster","Ampelaster",500891
"urn:cite:botcar:genus.Ampelopsis","Ampelopsis",28630
"urn:cite:botcar:genus.Amsonia","Amsonia",30130
"urn:cite:botcar:genus.Andropogon","Andropogon",40450
"urn:cite:botcar:genus.Angelica","Angelica",29431
"urn:cite:botcar:genus.Apios","Apios",25389
"urn:cite:botcar:genus.Apocynum","Apocynum",30155
"urn:cite:botcar:genus.Arnoglossum","Arnoglossum",36582
"urn:cite:botcar:genus.Asarum","Asarum",18351
"urn:cite:botcar:genus.Asclepias","Asclepias",30240
"urn:cite:botcar:genus.Asplenium","Asplenium",17333
"urn:cite:botcar:genus.Astragalus","Astragalus",25392
"urn:cite:botcar:genus.Athyrium","Athyrium",17408
"urn:cite:botcar:genus.Bacopa","Bacopa",33037
"urn:cite:botcar:genus.Baptisia","Baptisia",26466
"urn:cite:botcar:genus.Berchemia","Berchemia",28446
"urn:cite:botcar:genus.Berlandiera","Berlandiera",36829
"urn:cite:botcar:genus.Bidens","Bidens",35705
"urn:cite:botcar:genus.Bidens","Bidens",35705
"urn:cite:botcar:genus.Bigelowia","Bigelowia",36836
"urn:cite:botcar:genus.Brunnichia","Brunnichia",20996
"urn:cite:botcar:genus.Calycanthus","Calycanthus",18139
"urn:cite:botcar:genus.Calystegia","Calystegia",30649
"urn:cite:botcar:genus.Carex","Carex",39369
"urn:cite:botcar:genus.Carex","Carex",39369
"urn:cite:botcar:genus.Carphephorus","Carphephorus",36939
"urn:cite:botcar:genus.Carpinus","Carpinus",19503
"urn:cite:botcar:genus.Carya","Carya",19223
"urn:cite:botcar:genus.Castanea","Castanea",19451
"urn:cite:botcar:genus.Catalpa","Catalpa",34312
"urn:cite:botcar:genus.Ceanothus","Ceanothus",28453
"urn:cite:botcar:genus.Cenchrus","Cenchrus",40569
"urn:cite:botcar:genus.Cephalanthus","Cephalanthus",34785
"urn:cite:botcar:genus.Ceratiola","Ceratiola",23746
"urn:cite:botcar:genus.Cercis","Cercis",25781
"urn:cite:botcar:genus.Chamaecrista","Chamaecrista",500196
"urn:cite:botcar:genus.Chamaesyce","Chamaesyce",28244
"urn:cite:botcar:genus.Chaptalia","Chaptalia",37022
