"speciesURN","scientificNameText",tsn
"urn:cite:botcar:species.Acernegundo","Acer negundo L.",28749
"urn:cite:botcar:species.Acerrubrum","Acer rubrum L. var. rubrum",28728
"urn:cite:botcar:species.Acersaccharinum","Acer saccharinum L.",28757
"urn:cite:botcar:species.Actaearacemosa","Actaea racemosa L.",821148
"urn:cite:botcar:species.Agalinispurpurea","Agalinis purpurea (L.) Pennell",33007
"urn:cite:botcar:species.Aletrisaurea","Aletris aurea Walter",42768
"urn:cite:botcar:species.Alliumcuthbertii","Allium cuthbertii Small",42696
"urn:cite:botcar:species.Amianthiummuscitoxicum","Amianthium muscitoxicum (Walter) A. Gray",42775
"urn:cite:botcar:species.Amorphaglabra","Amorpha glabra Desf. ex Poir.",25376
"urn:cite:botcar:species.Amorphaherbacea","Amorpha herbacea Walter",25377
"urn:cite:botcar:species.Ampelastercarolinianus","Ampelaster carolinianus (Walter) G.L. Nesom",507577
"urn:cite:botcar:species.Ampelopsisarborea","Ampelopsis arborea (L.) Koehne",28631
"urn:cite:botcar:species.Amsoniatabernaemontana","Amsonia tabernaemontana Walter var. tabernaemontana",30148
"urn:cite:botcar:species.Andropogontenuispatheus","Andropogon tenuispatheus (Nash) Nash",565857
"urn:cite:botcar:species.Angelicavenenosa","Angelica venenosa (Greenway) Fernald",29453
"urn:cite:botcar:species.Apiosamericana","Apios americana Medikus",25390
"urn:cite:botcar:species.Apocynumcannabinum","Apocynum cannabinum L.",30157
"urn:cite:botcar:species.Arnoglossumatriplicifolium","Arnoglossum atriplicifolium (L.) H. Rob.",36583
"urn:cite:botcar:species.Asarumcanadense","Asarum canadense L.",18353
"urn:cite:botcar:species.Asclepiasamplexicaulis","Asclepias amplexicaulis Sm.",30244
"urn:cite:botcar:species.Asclepiashumistrata","Asclepias humistrata Walter",30272
"urn:cite:botcar:species.Asclepiasobovata","Asclepias obovata Elliott",30289
"urn:cite:botcar:species.Asclepiasrubra","Asclepias rubra L.",30299
"urn:cite:botcar:species.Asclepiastuberosa","Asclepias tuberosa L.",30313
"urn:cite:botcar:species.Asclepiasverticillata","Asclepias verticillata L.",30320
"urn:cite:botcar:species.Asclepiasviridiflora","Asclepias viridiflora Raf.",30322
"urn:cite:botcar:species.Aspleniumtrichomanes","Asplenium trichomanes L.",17364
"urn:cite:botcar:species.Astragalusmichauxii","Astragalus michauxii (Kuntze) F.J. Herm.",25577
"urn:cite:botcar:species.Athyriumasplenioides","Athyrium asplenioides (Michaux) A.A. Eaton",17422
"urn:cite:botcar:species.Bacopamonnieri","Bacopa monnieri (L.) Pennell",33038
"urn:cite:botcar:species.Baptisiaalbescens","Baptisia albescens Small",192869
"urn:cite:botcar:species.Baptisiabracteata","Baptisia bracteata Elliott",26470
"urn:cite:botcar:species.Baptisiaperfoliata","Baptisia perfoliata (L.) R. Br.",26482
"urn:cite:botcar:species.Baptisiatinctoria","Baptisia tinctoria (L.) Ventenat",26489
"urn:cite:botcar:species.Berchemiascandens","Berchemia scandens (Hill) K. Koch",28447
"urn:cite:botcar:species.Berlandierapumila","Berlandiera pumila (Michx) Nutt.",36833
"urn:cite:botcar:species.Bidensfrondosa","Bidens frondosa L.",35707
"urn:cite:botcar:species.Bigelowianudata","Bigelowia nudata (Michx.) DC.",36837
"urn:cite:botcar:species.Brunnichiaovata","Brunnichia ovata (Walter) Shinners",501079
"urn:cite:botcar:species.Calycanthusfloridus","Calycanthus floridus L.",18142
"urn:cite:botcar:species.Calystegiacatesbeiana","Calystegia catesbeiana Pursh",845106
"urn:cite:botcar:species.Carexglaucescens","Carex glaucescens Elliott",39396
"urn:cite:botcar:species.Carphephoruscarnosus","Carphephorus carnosus (Small) C.W. James",501300
"urn:cite:botcar:species.Carpinuscaroliniana","Carpinus caroliniana Walter",19504
"urn:cite:botcar:species.Caryatomentosa","Carya tomentosa (Lamarck ex Poiret) Nuttall",19247
"urn:cite:botcar:species.Castaneapumila","Castanea pumila (L.) Mill",19457
"urn:cite:botcar:species.Catalpabignonioides","Catalpa bignonioides Walter",34313
"urn:cite:botcar:species.Ceanothusamericanus","Ceanothus americanus L.",28454
"urn:cite:botcar:species.Cephalanthusoccidentalis","Cephalanthus occidentalis L.",34786
"urn:cite:botcar:species.Ceratiolaericoides","Ceratiola ericoides Michx.",23747
"urn:cite:botcar:species.Cerciscanadensis","Cercis canadensis L.",25782
"urn:cite:botcar:species.Chamaecristanictitans","Chamaecrista nictitans (Michx.) Greene",501388
"urn:cite:botcar:species.Chamaesycesp","Chamaesyce sp.",to be added
"urn:cite:botcar:species.Chaptaliatomentosa","Chaptalia tomentosa Vent.",37026
