"specimenURN","name"
"urn:cite:botcar:sloane.133","Catesby Specimen 133: Spermacoce?"
"urn:cite:botcar:sloane.360","Catesby Specimen 360: Spermacoce?"
"urn:cite:botcar:sloane.149","Catesby Specimen 149: Some leaf from Bahamas"
"urn:cite:botcar:sloane.245","Catesby Specimen 245: _Metopium toxiferum_"
"urn:cite:botcar:sloane.274","Catesby Specimen 274: Phleum arenarium?"
"urn:cite:botcar:sloane.293","Catesby Specimen 293: Moss"
"urn:cite:botcar:sloane.3","Catesby Specimen 3: Moss"
"urn:cite:botcar:sloane.37","Catesby Specimen 37: Dyschoriste oblongifolia (Michx.) Kuntze"
"urn:cite:botcar:sloane.19","Catesby Specimen 19: Liquidambar styraciflua L."
"urn:cite:botcar:sloane.243","Catesby Specimen 243: Liquidambar styraciflua L."
"urn:cite:botcar:sloane.246","Catesby Specimen 246: Allium cuthbertii Small"
"urn:cite:botcar:sloane.386","Catesby Specimen 386: Narcissus?"
"urn:cite:botcar:sloane.96","Catesby Specimen 96: Toxicodendron radicans (L.) Kuntze"
"urn:cite:botcar:sloane.41","Catesby Specimen 41: Toxicodendron vernix (L.) Kuntze"
"urn:cite:botcar:sloane.337","Catesby Specimen 337: Ptilimnium capillaceum (Michaux) Rafinesque"
"urn:cite:botcar:sloane.284","Catesby Specimen 284: Cicuta maculata L."
"urn:cite:botcar:sloane.414","Catesby Specimen 414: _Osmorhiza longistylis_ (Torr.) A.P. de Candolle"
"urn:cite:botcar:sloane.343","Catesby Specimen 343: _Osmorhiza longistylis_ (Torr.) A.P. de Candolle"
"urn:cite:botcar:sloane.288","Catesby Specimen 288: Thaspium trifoliatum (L.) A. Gray var. trifoliatum"
"urn:cite:botcar:sloane.138","Catesby Specimen 138: Angelica venenosa (Greenway) Fernald"
"urn:cite:botcar:sloane.24","Catesby Specimen 24: Eryngium integrifolium Walter"
"urn:cite:botcar:sloane.313","Catesby Specimen 313: Thaspium barbinode (Michx.) Nutt."
"urn:cite:botcar:sloane.70","Catesby Specimen 70: Asclepias obovata Elliott"
"urn:cite:botcar:sloane.66","Catesby Specimen 66: Matelea carolinensis (Jacq.) Woodson"
"urn:cite:botcar:sloane.87","Catesby Specimen 87: Asclepias viridiflora Raf."
"urn:cite:botcar:sloane.287","Catesby Specimen 287: Asclepias amplexicaulis Sm."
"urn:cite:botcar:sloane.286","Catesby Specimen 286: Asclepias humistrata Walter"
"urn:cite:botcar:sloane.331","Catesby Specimen 331: Asclepias tuberosa L."
"urn:cite:botcar:sloane.266","Catesby Specimen 266: Asclepias verticillata L."
"urn:cite:botcar:sloane.408","Catesby Specimen 408: Asclepias tuberosa L."
"urn:cite:botcar:sloane.256","Catesby Specimen 256: Amsonia tabernaemontana Walter var. tabernaemontana"
"urn:cite:botcar:sloane.159","Catesby Specimen 159: Apocynum cannabinum L."
"urn:cite:botcar:sloane.324","Catesby Specimen 324: Asclepias rubra L."
"urn:cite:botcar:sloane.222","Catesby Specimen 222: Asclepias humistrata Walter"
"urn:cite:botcar:sloane.69","Catesby Specimen 69: Ilex ambigua (Michx.) Torr."
"urn:cite:botcar:sloane.33","Catesby Specimen 33: Ilex cassine L."
"urn:cite:botcar:sloane.305","Catesby Specimen 305: Ilex cassine x opaca"
"urn:cite:botcar:sloane.32","Catesby Specimen 32: Endodeca serpentaria (Linnaeus) Rafinesque"
"urn:cite:botcar:sloane.363","Catesby Specimen 363: Asarum canadense L."
"urn:cite:botcar:sloane.378","Catesby Specimen 378: Asplenium trichomanes L."
"urn:cite:botcar:sloane.317","Catesby Specimen 317: Eupatorium leucolepis (DC.) Torr. & A. Gray"
"urn:cite:botcar:sloane.5","Catesby Specimen 5: Eupatorium leucolepis (DC.) Torr. & A. Gray"
"urn:cite:botcar:sloane.393","Catesby Specimen 393: Solidago fistulosa Mill."
"urn:cite:botcar:sloane.398","Catesby Specimen 398: Smallanthus uvedalius (Linnaeus) Mackenzie ex Small"
"urn:cite:botcar:sloane.325","Catesby Specimen 325: Liatris secunda Elliott"
"urn:cite:botcar:sloane.44","Catesby Specimen 44: Liatris spicata (L.) Willd. var. resinosa (Nutt.) Gaiser"
"urn:cite:botcar:sloane.56","Catesby Specimen 56: Coreopsis lanceolata L."
"urn:cite:botcar:sloane.123","Catesby Specimen 123: Gaillardia aestivalis (Walter) H. Rock var. aestivalis"
"urn:cite:botcar:sloane.128","Catesby Specimen 128: Symphyotrichum dumosum (L.) Nesom"
"urn:cite:botcar:sloane.272","Catesby Specimen 272: Erigeron strigosus Muhlenberg ex Willdenow"
"urn:cite:botcar:sloane.425","Catesby Specimen 425: Vernonia acaulis (Walter) Gleason"
"urn:cite:botcar:sloane.199","Catesby Specimen 199: Prenanthes serpentaria Pursh"
"urn:cite:botcar:sloane.110","Catesby Specimen 110: Chrysogonum virginianum L."
"urn:cite:botcar:sloane.395","Catesby Specimen 395: Silphium asteriscus L."
"urn:cite:botcar:sloane.307","Catesby Specimen 307: Eupatorium purpureum L. var. purpureum"
"urn:cite:botcar:sloane.346","Catesby Specimen 346: Coreopsis delphiniifolia Lam."
"urn:cite:botcar:sloane.134","Catesby Specimen 134: Helenium flexuosum Raf."
"urn:cite:botcar:sloane.367","Catesby Specimen 367: Carphephorus carnosus (Small) C.W. James"
"urn:cite:botcar:sloane.23","Catesby Specimen 23: Coreopsis major Walter var. major"
"urn:cite:botcar:sloane.25","Catesby Specimen 25: Helenium flexuosum Raf."
"urn:cite:botcar:sloane.20","Catesby Specimen 20: Berlandiera pumila (Michx) Nutt."
"urn:cite:botcar:sloane.404","Catesby Specimen 404: Euthamia caroliniana (Linnaeus) Greene ex Porter & Britton"
"urn:cite:botcar:sloane.423","Catesby Specimen 423: Gaillardia aestivalis (Walter) H. Rock var. aestivalis"
"urn:cite:botcar:sloane.210","Catesby Specimen 210: Liatris elegans (Walter) Michaux"
"urn:cite:botcar:sloane.181","Catesby Specimen 181: Trilisa paniculata (J.F. Gmelin) Cassini"
"urn:cite:botcar:sloane.427","Catesby Specimen 427: Ampelaster carolinianus (Walter) G.L. Nesom"
"urn:cite:botcar:sloane.58","Catesby Specimen 58: Chrysopsis gossypina (Michaux) Elliott"
"urn:cite:botcar:sloane.64","Catesby Specimen 64: Chrysopsis mariana (L.) Elliott"
"urn:cite:botcar:sloane.179","Catesby Specimen 179: Liatris squarrulosa Michx."
"urn:cite:botcar:sloane.93","Catesby Specimen 93: Coreopsis major Walter var. major"
"urn:cite:botcar:sloane.338","Catesby Specimen 338: Eupatorium capillifolium (Lamarck) Small"
"urn:cite:botcar:sloane.257","Catesby Specimen 257: Eutrochium dubium (Willdenow ex Poiret) E.E. Lamont"
"urn:cite:botcar:sloane.173","Catesby Specimen 173: Rudbeckia hirta L."
"urn:cite:botcar:sloane.344","Catesby Specimen 344: Pluchea foetida (L.) A.P. de Candolle"
"urn:cite:botcar:sloane.176","Catesby Specimen 176: Marshallia graminifolia (Walter) Small"
"urn:cite:botcar:sloane.104","Catesby Specimen 104: Liatris squarrosa (L.) Michx. var. squarrosa"
"urn:cite:botcar:sloane.129","Catesby Specimen 129: Solidago petiolaris Aiton var. petiolaris"
"urn:cite:botcar:sloane.140","Catesby Specimen 140: Chrysopsis mariana (L.) Elliott"
"urn:cite:botcar:sloane.291","Catesby Specimen 291: Symphyotrichum concolor (Linnaeus) Nesom var. concolor"
"urn:cite:botcar:sloane.154","Catesby Specimen 154: Vernonia gigantea (Walter) Trelease"
"urn:cite:botcar:sloane.333","Catesby Specimen 333: Pityopsis graminifolia (Michx.) Nutt. var. latifolia (Fernald) Semple & F.D. Bowers"
"urn:cite:botcar:sloane.204","Catesby Specimen 204: Eupatorium serotinum Michx."
"urn:cite:botcar:sloane.190","Catesby Specimen 190: Bigelowia nudata (Michx.) DC."
"urn:cite:botcar:sloane.387","Catesby Specimen 387: Bidens frondosa L."
"urn:cite:botcar:sloane.290","Catesby Specimen 290: Ampelaster carolinianus (Walter) G.L. Nesom"
"urn:cite:botcar:sloane.381","Catesby Specimen 381: Prenanthes autumnalis Walter"
"urn:cite:botcar:sloane.158","Catesby Specimen 158: Eupatorium capillifolium (Lam.) Small"
"urn:cite:botcar:sloane.185","Catesby Specimen 185: Euthamia caroliniana (L.) Greene ex Porter & Britton"
"urn:cite:botcar:sloane.186","Catesby Specimen 186: Solidago odora Aiton"
"urn:cite:botcar:sloane.215","Catesby Specimen 215: Helianthus angustifolius L."
