imageURNList	folioURN
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_fc_0411	urn:cite:botcar:CatesbyHS212.fc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_ff_0511	urn:cite:botcar:CatesbyHS212.ff
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_toc_0512	urn:cite:botcar:CatesbyHS212.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_toc_0513	urn:cite:botcar:CatesbyHS212.toc
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0508	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507-corr	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0508-corr	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0508	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507-corr	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0508-corr	urn:cite:botcar:CatesbyHS212.001
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510	urn:cite:botcar:CatesbyHS212.002
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510-corr	urn:cite:botcar:CatesbyHS212.002
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509	urn:cite:botcar:CatesbyHS212.003
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509-corr	urn:cite:botcar:CatesbyHS212.003
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501	urn:cite:botcar:CatesbyHS212.004
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501-corr	urn:cite:botcar:CatesbyHS212.004
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503	urn:cite:botcar:CatesbyHS212.005
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503-corr	urn:cite:botcar:CatesbyHS212.005
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499	urn:cite:botcar:CatesbyHS212.006
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499-corr	urn:cite:botcar:CatesbyHS212.006
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504	urn:cite:botcar:CatesbyHS212.007
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_007_0504-corr	urn:cite:botcar:CatesbyHS212.007
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506	urn:cite:botcar:CatesbyHS212.008
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_008_0506-corr	urn:cite:botcar:CatesbyHS212.008
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502	urn:cite:botcar:CatesbyHS212.009
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_009_0502-corr	urn:cite:botcar:CatesbyHS212.009
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505	urn:cite:botcar:CatesbyHS212.010
urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_010_0505-corr	urn:cite:botcar:CatesbyHS212.010
