labelURN	imageURN
urn:cite:botcar:catesbyLabels.penLabel94.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_110_0551
urn:cite:botcar:catesbyLabels.penLabel370.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408
urn:cite:botcar:catesbyLabels.penLabel92.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464
urn:cite:botcar:catesbyLabels.penLabel284.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483
urn:cite:botcar:catesbyLabels.penLabel423.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457
urn:cite:botcar:catesbyLabels.penLabel62.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497
urn:cite:botcar:catesbyLabels.penLabel316.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501
urn:cite:botcar:catesbyLabels.penLabel228.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476
urn:cite:botcar:catesbyLabels.penLabel209.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462
urn:cite:botcar:catesbyLabels.penLabel302.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_011_0500
urn:cite:botcar:catesbyLabels.penLabel91.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454
urn:cite:botcar:catesbyLabels.penLabel138.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479
urn:cite:botcar:catesbyLabels.penLabel287.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486
urn:cite:botcar:catesbyLabels.penLabel222.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_086_0564
urn:cite:botcar:catesbyLabels.penLabel177.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_050_0469
urn:cite:botcar:catesbyLabels.penLabel241.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_044_0463
urn:cite:botcar:catesbyLabels.penLabel244.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_081_0424
urn:cite:botcar:catesbyLabels.penLabel318.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_026_0487
urn:cite:botcar:catesbyLabels.penLabel20.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_034_0477
urn:cite:botcar:catesbyLabels.penLabel25.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_033_0472
urn:cite:botcar:catesbyLabels.penLabel109.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_067_0450
urn:cite:botcar:catesbyLabels.penLabel301.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_052_0467
urn:cite:botcar:catesbyLabels.penLabel144.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_037_0478
urn:cite:botcar:catesbyLabels.penLabel155.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_090_0421
urn:cite:botcar:catesbyLabels.penLabel34.1	urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_022_0484
