URN	folioURN
urn:cite:botcar:catesbyLabels.penLabel94.1	urn:cite:fufolio:CatesbyHS232.110
urn:cite:botcar:catesbyLabels.penLabel370.1	urn:cite:fufolio:CatesbyHS212.094
urn:cite:botcar:catesbyLabels.penLabel92.1	urn:cite:fufolio:CatesbyHS212.043
urn:cite:botcar:catesbyLabels.penLabel284.1	urn:cite:fufolio:CatesbyHS212.027
urn:cite:botcar:catesbyLabels.penLabel423.1	urn:cite:fufolio:CatesbyHS212.040
urn:cite:botcar:catesbyLabels.penLabel62.1	urn:cite:fufolio:CatesbyHS212.013
urn:cite:botcar:catesbyLabels.penLabel316.1	urn:cite:fufolio:CatesbyHS212.004
urn:cite:botcar:catesbyLabels.penLabel228.1	urn:cite:fufolio:CatesbyHS212.032
urn:cite:botcar:catesbyLabels.penLabel209.1	urn:cite:fufolio:CatesbyHS212.048
urn:cite:botcar:catesbyLabels.penLabel302.1	urn:cite:fufolio:CatesbyHS212.011
urn:cite:botcar:catesbyLabels.penLabel91.1	urn:cite:fufolio:CatesbyHS212.045
urn:cite:botcar:catesbyLabels.penLabel138.1	urn:cite:fufolio:CatesbyHS212.039
urn:cite:botcar:catesbyLabels.penLabel287.1	urn:cite:fufolio:CatesbyHS212.030
urn:cite:botcar:catesbyLabels.penLabel222.1	urn:cite:fufolio:CatesbyHS232.086
urn:cite:botcar:catesbyLabels.penLabel177.1	urn:cite:fufolio:CatesbyHS212.050
urn:cite:botcar:catesbyLabels.penLabel241.1	urn:cite:fufolio:CatesbyHS212.044
urn:cite:botcar:catesbyLabels.penLabel244.1	urn:cite:fufolio:CatesbyHS212.081
urn:cite:botcar:catesbyLabels.penLabel318.1	urn:cite:fufolio:CatesbyHS212.026
urn:cite:botcar:catesbyLabels.penLabel20.1	urn:cite:fufolio:CatesbyHS212.034
urn:cite:botcar:catesbyLabels.penLabel25.1	urn:cite:fufolio:CatesbyHS212.033
urn:cite:botcar:catesbyLabels.penLabel109.1	urn:cite:fufolio:CatesbyHS212.067
urn:cite:botcar:catesbyLabels.penLabel301.1	urn:cite:fufolio:CatesbyHS212.052
