labelURN	specimenURN
urn:cite:botcar:catesbyLabels.penLabel94.1	urn:cite:botcar:sloane.94
urn:cite:botcar:catesbyLabels.penLabel370.1	urn:cite:botcar:sloane.370
urn:cite:botcar:catesbyLabels.penLabel92.1	urn:cite:botcar:sloane.92
urn:cite:botcar:catesbyLabels.penLabel284.1	urn:cite:botcar:sloane.284
urn:cite:botcar:catesbyLabels.penLabel423.1	urn:cite:botcar:sloane.423
urn:cite:botcar:catesbyLabels.penLabel62.1	urn:cite:botcar:sloane.62
urn:cite:botcar:catesbyLabels.penLabel316.1	urn:cite:botcar:sloane.316
urn:cite:botcar:catesbyLabels.penLabel228.1	urn:cite:botcar:sloane.228
urn:cite:botcar:catesbyLabels.penLabel209.1	urn:cite:botcar:sloane.209
urn:cite:botcar:catesbyLabels.penLabel302.1	urn:cite:botcar:sloane.302
urn:cite:botcar:catesbyLabels.penLabel91.1	urn:cite:botcar:sloane.91
urn:cite:botcar:catesbyLabels.penLabel138.1	urn:cite:botcar:sloane.138
urn:cite:botcar:catesbyLabels.penLabel287.1	urn:cite:botcar:sloane.287
urn:cite:botcar:catesbyLabels.penLabel222.1	urn:cite:botcar:sloane.222
urn:cite:botcar:catesbyLabels.penLabel177.1	urn:cite:botcar:sloane.177
urn:cite:botcar:catesbyLabels.penLabel241.1	urn:cite:botcar:sloane.241
urn:cite:botcar:catesbyLabels.penLabel244.1	urn:cite:botcar:sloane.244
urn:cite:botcar:catesbyLabels.penLabel318.1	urn:cite:botcar:sloane.318
urn:cite:botcar:catesbyLabels.penLabel20.1	urn:cite:botcar:sloane.20
urn:cite:botcar:catesbyLabels.penLabel25.1	urn:cite:botcar:sloane.25
urn:cite:botcar:catesbyLabels.penLabel109.1	urn:cite:botcar:sloane.109
urn:cite:botcar:catesbyLabels.penLabel301.1	urn:cite:botcar:sloane.301
urn:cite:botcar:catesbyLabels.penLabel144.1	urn:cite:botcar:sloane.144
urn:cite:botcar:catesbyLabels.penLabel155.1	urn:cite:botcar:sloane.155
urn:cite:botcar:catesbyLabels.penLabel34.1	urn:cite:botcar:sloane.34
urn:cite:botcar:catesbyLabels.penLabel236.1	urn:cite:botcar:sloane.236
urn:cite:botcar:catesbyLabels.penLabel306.1	urn:cite:botcar:sloane.306
urn:cite:botcar:catesbyLabels.penLabel119.1	urn:cite:botcar:sloane.119
urn:cite:botcar:catesbyLabels.penLabel4.1	urn:cite:botcar:sloane.4
urn:cite:botcar:catesbyLabels.penLabel163.1	urn:cite:botcar:sloane.163
urn:cite:botcar:catesbyLabels.penLabel217.1	urn:cite:botcar:sloane.217
urn:cite:botcar:catesbyLabels.penLabel210.1	urn:cite:botcar:sloane.210
urn:cite:botcar:catesbyLabels.penLabel104.1	urn:cite:botcar:sloane.104
urn:cite:botcar:catesbyLabels.penLabel186.1	urn:cite:botcar:sloane.186
urn:cite:botcar:catesbyLabels.penLabel157.1	urn:cite:botcar:sloane.157
urn:cite:botcar:catesbyLabels.penLabel283.1	urn:cite:botcar:sloane.283
urn:cite:botcar:catesbyLabels.penLabel401.1	urn:cite:botcar:sloane.401
urn:cite:botcar:catesbyLabels.penLabel422.1	urn:cite:botcar:sloane.422
urn:cite:botcar:catesbyLabels.penLabel191.1	urn:cite:botcar:sloane.191
urn:cite:botcar:catesbyLabels.penLabel314.1	urn:cite:botcar:sloane.314
urn:cite:botcar:catesbyLabels.penLabel310.1	urn:cite:botcar:sloane.310
urn:cite:botcar:catesbyLabels.penLabel22.1	urn:cite:botcar:sloane.22
urn:cite:botcar:catesbyLabels.penLabel260.1	urn:cite:botcar:sloane.260
urn:cite:botcar:catesbyLabels.penLabel320.1	urn:cite:botcar:sloane.320
urn:cite:botcar:catesbyLabels.penLabel45.1	urn:cite:botcar:sloane.45
urn:cite:botcar:catesbyLabels.penLabel315.1	urn:cite:botcar:sloane.315
urn:cite:botcar:catesbyLabels.penLabel297.1	urn:cite:botcar:sloane.297
urn:cite:botcar:catesbyLabels.penLabel294.1	urn:cite:botcar:sloane.294
urn:cite:botcar:catesbyLabels.penLabel323.1	urn:cite:botcar:sloane.323
urn:cite:botcar:catesbyLabels.penLabel343.1	urn:cite:botcar:sloane.343
urn:cite:botcar:catesbyLabels.penLabel220.1	urn:cite:botcar:sloane.220
urn:cite:botcar:catesbyLabels.penLabel418.1	urn:cite:botcar:sloane.418
urn:cite:botcar:catesbyLabels.penLabel256.1	urn:cite:botcar:sloane.256
urn:cite:botcar:catesbyLabels.penLabel309.1	urn:cite:botcar:sloane.309
urn:cite:botcar:catesbyLabels.penLabel69.1	urn:cite:botcar:sloane.69
