Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyHS212,0,urn:cite:botcar:CatesbyHS212.fc,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,1,urn:cite:botcar:CatesbyHS212.ff,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,2,urn:cite:botcar:CatesbyHS212.toc,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,3,urn:cite:botcar:CatesbyHS212.001,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,4,urn:cite:botcar:CatesbyHS212.001,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,5,urn:cite:botcar:CatesbyHS212.002,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,6,urn:cite:botcar:CatesbyHS212.003,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,7,urn:cite:botcar:CatesbyHS212.004,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,8,urn:cite:botcar:CatesbyHS212.005,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,9,urn:cite:botcar:CatesbyHS212.006,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,10,urn:cite:botcar:CatesbyHS212.007,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
CatesbyHS212,11,urn:cite:botcar:CatesbyHS212.008,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212
