Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyNH2,0,urn:cite:botcar:CatesbyNH2.c001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,1,urn:cite:botcar:CatesbyNH2.c001inner,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,2,urn:cite:botcar:CatesbyNH2.title,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,3,urn:cite:botcar:CatesbyNH2.titleverso,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,4,urn:cite:botcar:CatesbyNH2.d001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,5,urn:cite:botcar:CatesbyNH2.d002,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,6,urn:cite:botcar:CatesbyNH2.t001recto,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,7,urn:cite:botcar:CatesbyNH2.t001,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,8,urn:cite:botcar:CatesbyNH2.001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,9,urn:cite:botcar:CatesbyNH2.002,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,10,urn:cite:botcar:CatesbyNH2.t002,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,11,urn:cite:botcar:CatesbyNH2.t003,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,12,urn:cite:botcar:CatesbyNH2.003,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,13,urn:cite:botcar:CatesbyNH2.004,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,14,urn:cite:botcar:CatesbyNH2.t004,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,15,urn:cite:botcar:CatesbyNH2.t005,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,16,urn:cite:botcar:CatesbyNH2.005,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,17,urn:cite:botcar:CatesbyNH2.006,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,18,urn:cite:botcar:CatesbyNH2.t006,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,19,urn:cite:botcar:CatesbyNH2.t007,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,20,urn:cite:botcar:CatesbyNH2.007,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,21,urn:cite:botcar:CatesbyNH2.008,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,22,urn:cite:botcar:CatesbyNH2.t008,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,23,urn:cite:botcar:CatesbyNH2.t009,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,24,urn:cite:botcar:CatesbyNH2.009,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,25,urn:cite:botcar:CatesbyNH2.010,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,26,urn:cite:botcar:CatesbyNH2.t010,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,27,urn:cite:botcar:CatesbyNH2.t011,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,28,urn:cite:botcar:CatesbyNH2.011,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,29,urn:cite:botcar:CatesbyNH2.012,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,30,urn:cite:botcar:CatesbyNH2.t012,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,31,urn:cite:botcar:CatesbyNH2.t013,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
CatesbyNH2,32,urn:cite:botcar:CatesbyNH2.013,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 2 (1754)",urn:cite:botcar:codex.CatesbyNH2
