URN,Label
urn:cite:botcar:LordFolios.HS158_005,"Sloane Herbarium H.S. 158 f.005."
urn:cite:botcar:LordFolios.HS158_016,"Sloane Herbarium H.S. 158 f.016."
urn:cite:botcar:LordFolios.HS158_017,"Sloane Herbarium H.S. 158 f.017."
urn:cite:botcar:LordFolios.HS158_018,"Sloane Herbarium H.S. 158 f.018."
urn:cite:botcar:LordFolios.HS158_213,"Sloane Herbarium H.S. 158 f.213."
urn:cite:botcar:LordFolios.HS158_213,"Sloane Herbarium H.S. 158 f.213."
urn:cite:botcar:LordFolios.HS158_213,"Sloane Herbarium H.S. 158 f.213."
urn:cite:botcar:LordFolios.HS158_245,"Sloane Herbarium H.S. 158 f.245."
urn:cite:botcar:LordFolios.HS158_spine,"Sloane Herbarium H.S. 158 f.spine."
urn:cite:botcar:LordFolios.HS159_028,"Sloane Herbarium H.S. 159 f.028."
urn:cite:botcar:LordFolios.HS159_212,"Sloane Herbarium H.S. 159 f.212."
urn:cite:botcar:LordFolios.HS159_212,"Sloane Herbarium H.S. 159 f.212."
urn:cite:botcar:LordFolios.HS159_spine,"Sloane Herbarium H.S. 159 f.spine."
urn:cite:botcar:LordFolios.HS267_074,"Sloane Herbarium H.S. 267 f.074."
urn:cite:botcar:LordFolios.HS267_074,"Sloane Herbarium H.S. 267 f.074."
urn:cite:botcar:LordFolios.HS268_001,"Sloane Herbarium H.S. 268 f.001."
urn:cite:botcar:LordFolios.HS268_001,"Sloane Herbarium H.S. 268 f.001."
urn:cite:botcar:LordFolios.HS268_001,"Sloane Herbarium H.S. 268 f.001."
urn:cite:botcar:LordFolios.HS268_001,"Sloane Herbarium H.S. 268 f.001."
urn:cite:botcar:LordFolios.HS268_003,"Sloane Herbarium H.S. 268 f.003."
urn:cite:botcar:LordFolios.HS268_005,"Sloane Herbarium H.S. 268 f.005."
urn:cite:botcar:LordFolios.HS268_005_detail,"Sloane Herbarium H.S. 268 f.005."
urn:cite:botcar:LordFolios.HS268_007,"Sloane Herbarium H.S. 268 f.007."
urn:cite:botcar:LordFolios.HS268_007,"Sloane Herbarium H.S. 268 f.007."
urn:cite:botcar:LordFolios.HS268_009,"Sloane Herbarium H.S. 268 f.009."
urn:cite:botcar:LordFolios.HS268_011,"Sloane Herbarium H.S. 268 f.011."
urn:cite:botcar:LordFolios.HS268_013,"Sloane Herbarium H.S. 268 f.013."
urn:cite:botcar:LordFolios.HS268_013,"Sloane Herbarium H.S. 268 f.013."
urn:cite:botcar:LordFolios.HS268_015,"Sloane Herbarium H.S. 268 f.015."
urn:cite:botcar:LordFolios.HS268_015,"Sloane Herbarium H.S. 268 f.015."
urn:cite:botcar:LordFolios.HS268_017,"Sloane Herbarium H.S. 268 f.017."
urn:cite:botcar:LordFolios.HS268_017_detail,"Sloane Herbarium H.S. 268 f.017."
urn:cite:botcar:LordFolios.HS268_019,"Sloane Herbarium H.S. 268 f.019."
urn:cite:botcar:LordFolios.HS268_019,"Sloane Herbarium H.S. 268 f.019."
urn:cite:botcar:LordFolios.HS268_019_detail,"Sloane Herbarium H.S. 268 f.019."
urn:cite:botcar:LordFolios.HS268_021,"Sloane Herbarium H.S. 268 f.021."
urn:cite:botcar:LordFolios.HS268_021_detail,"Sloane Herbarium H.S. 268 f.021."
urn:cite:botcar:LordFolios.HS268_023,"Sloane Herbarium H.S. 268 f.023."
urn:cite:botcar:LordFolios.HS268_025,"Sloane Herbarium H.S. 268 f.025."
urn:cite:botcar:LordFolios.HS268_027,"Sloane Herbarium H.S. 268 f.027."
urn:cite:botcar:LordFolios.HS268_029,"Sloane Herbarium H.S. 268 f.029."
urn:cite:botcar:LordFolios.HS268_031,"Sloane Herbarium H.S. 268 f.031."
urn:cite:botcar:LordFolios.HS268_033,"Sloane Herbarium H.S. 268 f.033."
urn:cite:botcar:LordFolios.HS268_033,"Sloane Herbarium H.S. 268 f.033."
urn:cite:botcar:LordFolios.HS268_035,"Sloane Herbarium H.S. 268 f.035."
urn:cite:botcar:LordFolios.HS268_037,"Sloane Herbarium H.S. 268 f.037."
urn:cite:botcar:LordFolios.HS268_039,"Sloane Herbarium H.S. 268 f.039."
urn:cite:botcar:LordFolios.HS268_041,"Sloane Herbarium H.S. 268 f.041."
urn:cite:botcar:LordFolios.HS268_043,"Sloane Herbarium H.S. 268 f.043."
urn:cite:botcar:LordFolios.HS268_045,"Sloane Herbarium H.S. 268 f.045."
urn:cite:botcar:LordFolios.HS268_045,"Sloane Herbarium H.S. 268 f.045."
urn:cite:botcar:LordFolios.HS268_047,"Sloane Herbarium H.S. 268 f.047."
urn:cite:botcar:LordFolios.HS268_047,"Sloane Herbarium H.S. 268 f.047."
urn:cite:botcar:LordFolios.HS268_049,"Sloane Herbarium H.S. 268 f.049."
urn:cite:botcar:LordFolios.HS268_051,"Sloane Herbarium H.S. 268 f.051."
urn:cite:botcar:LordFolios.HS268_051,"Sloane Herbarium H.S. 268 f.051."
urn:cite:botcar:LordFolios.HS268_053,"Sloane Herbarium H.S. 268 f.053."
urn:cite:botcar:LordFolios.HS268_055,"Sloane Herbarium H.S. 268 f.055."
urn:cite:botcar:LordFolios.HS268_055,"Sloane Herbarium H.S. 268 f.055."
urn:cite:botcar:LordFolios.HS268_057,"Sloane Herbarium H.S. 268 f.057."
urn:cite:botcar:LordFolios.HS268_059,"Sloane Herbarium H.S. 268 f.059."
urn:cite:botcar:LordFolios.HS268_061,"Sloane Herbarium H.S. 268 f.061."
urn:cite:botcar:LordFolios.HS268_061,"Sloane Herbarium H.S. 268 f.061."
urn:cite:botcar:LordFolios.HS268_063,"Sloane Herbarium H.S. 268 f.063."
urn:cite:botcar:LordFolios.HS268_063,"Sloane Herbarium H.S. 268 f.063."
urn:cite:botcar:LordFolios.HS268_065,"Sloane Herbarium H.S. 268 f.065."
urn:cite:botcar:LordFolios.HS268_065,"Sloane Herbarium H.S. 268 f.065."
urn:cite:botcar:LordFolios.HS268_065,"Sloane Herbarium H.S. 268 f.065."
urn:cite:botcar:LordFolios.HS268_067,"Sloane Herbarium H.S. 268 f.067."
urn:cite:botcar:LordFolios.HS268_069,"Sloane Herbarium H.S. 268 f.069."
urn:cite:botcar:LordFolios.HS268_071,"Sloane Herbarium H.S. 268 f.071."
urn:cite:botcar:LordFolios.HS268_071,"Sloane Herbarium H.S. 268 f.071."
