URN,folioURN,imgURN,specimenURN,text,Contributer,Date
urn:cite:botcar:catesbyLabels.penLabel94.1,urn:cite:fufolio:CatesbyHS232.110,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_110_0551,urn:cite:botcar:sloane.94,???xia glabrata Mscr. 74,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel370.1,urn:cite:fufolio:CatesbyHS212.094,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_094_0408,urn:cite:botcar:sloane.370,??tula spicata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel92.1,urn:cite:fufolio:CatesbyHS212.043,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_043_0464,urn:cite:botcar:sloane.92,...nodium capitatum Mscr. 116,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel284.1,urn:cite:fufolio:CatesbyHS212.027,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_027_0483,urn:cite:botcar:sloane.284,1 Acuta maculata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel423.1,urn:cite:fufolio:CatesbyHS212.040,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_040_0457,urn:cite:botcar:sloane.423,1 Ageratum uniflorum Mscr. 154,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel62.1,urn:cite:fufolio:CatesbyHS212.013,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_013_0497,urn:cite:botcar:sloane.62,1 Carpinus ostrya Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel316.1,urn:cite:fufolio:CatesbyHS212.004,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_004_0501,urn:cite:botcar:sloane.316,1 Cupressus disticha Linn. Sp. Pl. 1003,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel228.1,urn:cite:fufolio:CatesbyHS212.032,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_032_0476,urn:cite:botcar:sloane.228,1 Jatropha urens Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel209.1,urn:cite:fufolio:CatesbyHS212.048,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_048_0462,urn:cite:botcar:sloane.209,1 Monarda punctata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel302.1,urn:cite:fufolio:CatesbyHS212.011,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_011_0500,urn:cite:botcar:sloane.302,1 Populus balsamifera Linn. Sp. Pl. 1034,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel91.1,urn:cite:fufolio:CatesbyHS212.045,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_045_0454,urn:cite:botcar:sloane.91,1 Schoenus stellata (marked through Schoenus coloratus Linn),Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel138.1,urn:cite:fufolio:CatesbyHS212.039,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_039_0479,urn:cite:botcar:sloane.138,1. Angelica lucida Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel287.1,urn:cite:fufolio:CatesbyHS212.030,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_030_0486,urn:cite:botcar:sloane.287,1. Asclepias amoena Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel222.1,urn:cite:fufolio:CatesbyHS232.086,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_086_0564,urn:cite:botcar:sloane.222,1. Asclepias glabrata Mscr. 57,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel177.1,urn:cite:fufolio:CatesbyHS212.050,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_050_0469,urn:cite:botcar:sloane.177,1. Ascyrum crux andrea Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel241.1,urn:cite:fufolio:CatesbyHS212.044,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_044_0463,urn:cite:botcar:sloane.241,1. Carex nutans Mscr. 197,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel244.1,urn:cite:fufolio:CatesbyHS212.081,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_081_0424,urn:cite:botcar:sloane.244,1. Cassia occidentalis Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel318.1,urn:cite:fufolio:CatesbyHS212.026,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_026_0487,urn:cite:botcar:sloane.318,1. Clinopodium incanum Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel20.1,urn:cite:fufolio:CatesbyHS212.034,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_034_0477,urn:cite:botcar:sloane.20,1. Colymmia cordifolia Mscr. 181,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel25.1,urn:cite:fufolio:CatesbyHS212.033,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_033_0472,urn:cite:botcar:sloane.25,1. Fostera suaveolens Mscr. 177 Nov. gen.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel109.1,urn:cite:fufolio:CatesbyHS212.067,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_067_0450,urn:cite:botcar:sloane.109,1. Kriegia lavigata Mscr. 49,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel301.1,urn:cite:fufolio:CatesbyHS212.052,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_052_0467,urn:cite:botcar:sloane.301,1. Ludwigia villosa Mscr. 18,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel144.1,urn:cite:fufolio:CatesbyHS212.037,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_037_0478,urn:cite:botcar:sloane.144,1. Lysimachia ciliata Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel155.1,urn:cite:fufolio:CatesbyHS212.090,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_090_0421,urn:cite:botcar:sloane.155,1. Nelia monocephala Mscr. 134 nov. gen.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel34.1,urn:cite:fufolio:CatesbyHS212.022,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_022_0484,urn:cite:botcar:sloane.34,1. Olea americana Mscr 1,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel236.1,urn:cite:fufolio:CatesbyHS232.077,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_077_0582,urn:cite:botcar:sloane.236,1. Osmunda regalis. B. Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel306.1,urn:cite:fufolio:CatesbyHS212.063,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_063_0451,urn:cite:botcar:sloane.306,1. Podophyllum peltatum Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel119.1,urn:cite:fufolio:CatesbyHS232.078,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_078_0576,urn:cite:botcar:sloane.119,1. Polypodium Phegopteris Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel4.1,urn:cite:fufolio:CatesbyHS212.078,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_078_0433,urn:cite:botcar:sloane.4,1. Quercus rubra Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel163.1,urn:cite:fufolio:CatesbyHS212.023,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_023_0489,urn:cite:botcar:sloane.163,1. Rubus viminalis Mscr. 110,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel217.1,urn:cite:fufolio:CatesbyHS212.096,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_096_0413,urn:cite:botcar:sloane.217,1. Serratula paniculata Mscr. 152,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel210.1,urn:cite:fufolio:CatesbyHS232.040,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_040_0621,urn:cite:botcar:sloane.210,1. Serratula speciosa Mscr. 153,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel104.1,urn:cite:fufolio:CatesbyHS212.054,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_054_0459,urn:cite:botcar:sloane.104,1. Serratula squarrosa Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel186.1,urn:cite:fufolio:CatesbyHS212.009,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_009_0502,urn:cite:botcar:sloane.186,1. Solidago sempervirens Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel157.1,urn:cite:fufolio:CatesbyHS212.020,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_020_0490,urn:cite:botcar:sloane.157,1. Sophora cerulea Mscr.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel283.1,urn:cite:fufolio:CatesbyHS212.036,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_036_0475,urn:cite:botcar:sloane.283,1. Veratrum viride Mscr. 209,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel401.1,urn:cite:fufolio:CatesbyHS212.088,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_088_0419,urn:cite:botcar:sloane.401,1. Zizania aquatica Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel422.1,urn:cite:fufolio:CatesbyHS212.012,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_012_0493,urn:cite:botcar:sloane.422,2 Acer Negundo Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel191.1,urn:cite:fufolio:CatesbyHS212.022,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_022_0484,urn:cite:botcar:sloane.191,2 Aitonia buchneroides Mscr 124 Verbena,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel314.1,urn:cite:fufolio:CatesbyHS212.007,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_007_0504,urn:cite:botcar:sloane.314,2 an Bidens,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel310.1,urn:cite:fufolio:CatesbyHS212.008,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_008_0506,urn:cite:botcar:sloane.310,2 Collinsonia canadensis Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel22.1,urn:cite:fufolio:CatesbyHS212.041,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_041_0456,urn:cite:botcar:sloane.22,2 Eriocaulon decangulare L.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel260.1,urn:cite:fufolio:CatesbyHS212.011,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_011_0500,urn:cite:botcar:sloane.260,2 Fraxinus americana Linn. Sp. Pl. 1037,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel320.1,urn:cite:fufolio:CatesbyHS212.056,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_056_0466,urn:cite:botcar:sloane.320,2 Galega virginiana Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel45.1,urn:cite:fufolio:CatesbyHS212.040,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_040_0457,urn:cite:botcar:sloane.45,2 Lithospermum nervosum Mscr. 21,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel315.1,urn:cite:fufolio:CatesbyHS212.009,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_009_0502,urn:cite:botcar:sloane.315,2 Lycopus virginicus Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel297.1,urn:cite:fufolio:CatesbyHS212.032,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_032_0476,urn:cite:botcar:sloane.297,2 Melanthium elatum Mscr. 70,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel294.1,urn:cite:fufolio:CatesbyHS212.031,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_031_0474,urn:cite:botcar:sloane.294,2 Polygala foliosa Mscr. 136,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel323.1,urn:cite:fufolio:CatesbyHS232.079,urn:cite:fufolioimg:Caroliniana.Catesby_HS232_079_0573,urn:cite:botcar:sloane.323,2 Polypodium rhoticum Linn.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel343.1,urn:cite:fufolio:CatesbyHS212.034,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_034_0477,urn:cite:botcar:sloane.343,2 Scandix suaveolens Mscr.,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
urn:cite:botcar:catesbyLabels.penLabel220.1,urn:cite:fufolio:CatesbyHS212.094,urn:cite:fufolioimg:Caroliniana.Catesby_HS212_094_0408,urn:cite:botcar:sloane.220,2 Serratula speciosa Mscr. 153,Christopher Blackwell cwblackwell@gmail.com,2013-03-05T21:52:27.190Z
