genusURN,genusName,familyURN,tsnID,label
urn:cite:botcar:genus.Acer,Acer,urn:cite:botcar:family.Sapindaceae,to be added,*Acer*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Actaea,Actaea,urn:cite:botcar:family.Ranunculaceae,to be added,*Actaea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Agalinis,Agalinis,urn:cite:botcar:family.Orobanchaceaenchaceae,to be added,*Agalinis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Aletris,Aletris,urn:cite:botcar:family.Nartheciaceae,to be added,*Aletris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Allium,Allium,urn:cite:botcar:family.Amaryllidaceae,to be added,*Allium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Amianthium,Amianthium,urn:cite:botcar:family.Melanthiaceae,to be added,*Amianthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Amorpha,Amorpha,urn:cite:botcar:family.Fabaceae,to be added,*Amorpha*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ampelaster,Ampelaster,urn:cite:botcar:family.Asteraceae,to be added,*Ampelaster*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Ampelopsis,Ampelopsis,urn:cite:botcar:family.Vitaceae,to be added,*Ampelopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Amsonia,Amsonia,urn:cite:botcar:family.Apocynaceae,to be added,*Amsonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Andropogon,Andropogon,urn:cite:botcar:family.Poaceae,to be added,*Andropogon*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Angelica,Angelica,urn:cite:botcar:family.Apiaceae,to be added,*Angelica*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Apios,Apios,urn:cite:botcar:family.Fabaceae,to be added,*Apios*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Apocynum,Apocynum,urn:cite:botcar:family.Apocynaceae,to be added,*Apocynum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Arnoglossum,Arnoglossum,urn:cite:botcar:family.Asteraceae,to be added,*Arnoglossum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Asarum,Asarum,urn:cite:botcar:family.Aristolochiaceae,to be added,*Asarum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Asclepias,Asclepias,urn:cite:botcar:family.Apocynaceae,to be added,*Asclepias*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Asplenium,Asplenium,urn:cite:botcar:family.Aspleniaceae,to be added,*Asplenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Astragalus,Astragalus,urn:cite:botcar:family.Fabaceae,to be added,*Astragalus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Athyrium,Athyrium,urn:cite:botcar:family.Athyriaceae,to be added,*Athyrium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Bacopa,Bacopa,urn:cite:botcar:family.Plantaginaceae,to be added,*Bacopa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Baptisia,Baptisia,urn:cite:botcar:family.Fabaceae,to be added,*Baptisia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Berchemia,Berchemia,urn:cite:botcar:family.Rhamnaceae,to be added,*Berchemia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Berlandiera,Berlandiera,urn:cite:botcar:family.Asteraceae,to be added,*Berlandiera*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Bidens,Bidens,Asteraceae,to be added,*Bidens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
urn:cite:botcar:genus.Bidens,Bidens,urn:cite:botcar:family.Asteraceae,to be added,*Bidens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.
