LabelURN,Text,SpecimenURN,ImageURN,ROI
urn:cite:botcar:catesbyLabels.penLabel94.1,???xia glabrata Mscr. 74,urn:cite:botcar:sloane.94,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS232_110_0551,""
urn:cite:botcar:catesbyLabels.penLabel370.1,??tula spicata Linn.,urn:cite:botcar:sloane.370,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_094_0408,""
urn:cite:botcar:catesbyLabels.penLabel92.1,...nodium capitatum Mscr. 116,urn:cite:botcar:sloane.92,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_043_0464,""
urn:cite:botcar:catesbyLabels.penLabel284.1,1 Acuta maculata Linn.,urn:cite:botcar:sloane.284,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_027_0483,""
urn:cite:botcar:catesbyLabels.penLabel423.1,1 Ageratum uniflorum Mscr. 154,urn:cite:botcar:sloane.423,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_040_0457,""
urn:cite:botcar:catesbyLabels.penLabel62.1,1 Carpinus ostrya Linn.,urn:cite:botcar:sloane.62,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_013_0497,""
urn:cite:botcar:catesbyLabels.penLabel316.1,1 Cupressus disticha Linn. Sp. Pl. 1003,urn:cite:botcar:sloane.316,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501,""
urn:cite:botcar:catesbyLabels.penLabel228.1,1 Jatropha urens Linn.,urn:cite:botcar:sloane.228,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_032_0476,""
urn:cite:botcar:catesbyLabels.penLabel209.1,1 Monarda punctata Linn.,urn:cite:botcar:sloane.209,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_048_0462,""
urn:cite:botcar:catesbyLabels.penLabel302.1,1 Populus balsamifera Linn. Sp. Pl. 1034,urn:cite:botcar:sloane.302,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_011_0500,""
urn:cite:botcar:catesbyLabels.penLabel91.1,1 Schoenus stellata (marked through Schoenus coloratus Linn),urn:cite:botcar:sloane.91,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_045_0454,""
urn:cite:botcar:catesbyLabels.penLabel138.1,1. Angelica lucida Linn.,urn:cite:botcar:sloane.138,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_039_0479,""
urn:cite:botcar:catesbyLabels.penLabel287.1,1. Asclepias amoena Linn.,urn:cite:botcar:sloane.287,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_030_0486,""
