speciesURN,scientificNameText,scientificNameFormatted,label,ipniID
urn:cite:botcar:species.Acernegundo,Acer negundo L.,Acer negundo L.,Acer negundo L.,"**Acer negundo L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Acerrubrum,Acer rubrum L. var. rubrum,Acer rubrum L. var. rubrum,Acer rubrum L. var. rubrum,"**Acer rubrum L. var. rubrum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Acersaccharinum,Acer saccharinum L.,Acer saccharinum L.,Acer saccharinum L.,"**Acer saccharinum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Actaearacemosa,Actaea racemosa L.,Actaea racemosa L.,Actaea racemosa L.,"**Actaea racemosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Agalinispurpurea,Agalinis purpurea (L.) Pennell,Agalinis purpurea (L.) Pennell,Agalinis purpurea (L.) Pennell,"**Agalinis purpurea (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Aletrisaurea,Aletris aurea Walter,Aletris aurea Walter,Aletris aurea Walter,"**Aletris aurea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Alliumcuthbertii,Allium cuthbertii Small,Allium cuthbertii Small,Allium cuthbertii Small,"**Allium cuthbertii Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Amianthiummuscitoxicum,Amianthium muscitoxicum (Walter) A. Gray,Amianthium muscitoxicum (Walter) A. Gray,Amianthium muscitoxicum (Walter) A. Gray,"**Amianthium muscitoxicum (Walter) A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Amorphaglabra,Amorpha glabra Desf. ex Poir.,Amorpha glabra Desf. ex Poir.,Amorpha glabra Desf. ex Poir.,"**Amorpha glabra Desf. ex Poir.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Amorphaherbacea,Amorpha herbacea Walter,Amorpha herbacea Walter,Amorpha herbacea Walter,"**Amorpha herbacea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Ampelastercarolinianus,Ampelaster carolinianus (Walter) G.L. Nesom,Ampelaster carolinianus (Walter) G.L. Nesom,Ampelaster carolinianus (Walter) G.L. Nesom,"**Ampelaster carolinianus (Walter) G.L. Nesom**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Ampelopsisarborea,Ampelopsis arborea (L.) Koehne,Ampelopsis arborea (L.) Koehne,Ampelopsis arborea (L.) Koehne,"**Ampelopsis arborea (L.) Koehne**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Amsoniatabernaemontana,Amsonia tabernaemontana Walter var. tabernaemontana,Amsonia tabernaemontana Walter var. tabernaemontana,Amsonia tabernaemontana Walter var. tabernaemontana,"**Amsonia tabernaemontana Walter var. tabernaemontana**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Andropogontenuispatheus,Andropogon tenuispatheus (Nash) Nash,Andropogon tenuispatheus (Nash) Nash,Andropogon tenuispatheus (Nash) Nash,"**Andropogon tenuispatheus (Nash) Nash**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
urn:cite:botcar:species.Angelicavenenosa,Angelica venenosa (Greenway) Fernald,Angelica venenosa (Greenway) Fernald,Angelica venenosa (Greenway) Fernald,"**Angelica venenosa (Greenway) Fernald**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.","to be added"
