folioURN,Siglum,Sequence,RV,MS,CodexURN,defaultImage
urn:cite:botcar:CatesbyHS212.fc,CatesbyHS212,0,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_fc_0411
urn:cite:botcar:CatesbyHS212.ff,CatesbyHS212,1,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_ff_0511
urn:cite:botcar:CatesbyHS212.toc,CatesbyHS212,2,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_toc_0512
urn:cite:botcar:CatesbyHS212.001,CatesbyHS212,3,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507-corr
urn:cite:botcar:CatesbyHS212.001,CatesbyHS212,4,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_001_0507-corr
urn:cite:botcar:CatesbyHS212.002,CatesbyHS212,5,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_002_0510-corr
urn:cite:botcar:CatesbyHS212.003,CatesbyHS212,6,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_003_0509-corr
urn:cite:botcar:CatesbyHS212.004,CatesbyHS212,7,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_004_0501-corr
urn:cite:botcar:CatesbyHS212.005,CatesbyHS212,8,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_005_0503-corr
urn:cite:botcar:CatesbyHS212.006,CatesbyHS212,9,recto,"Sloane Herbarium, H.S. 212: Mark Catesby, Carolina Plants, vol. 1",urn:cite:botcar:codex.CatesbyHS212,urn:cite:fufolioimg:BotCarCatesbyHS.Catesby_HS212_006_0499-corr
