Siglum,Sequence,folioURN,RV,MS,CodexURN
CatesbyNH1,0,urn:cite:botcar:CatesbyNH1.c001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,1,urn:cite:botcar:CatesbyNH1.ic,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,2,urn:cite:botcar:CatesbyNH1.title,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,3,urn:cite:botcar:CatesbyNH1.titleverso,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,4,urn:cite:botcar:CatesbyNH1.d001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,5,urn:cite:botcar:CatesbyNH1.d002,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,6,urn:cite:botcar:CatesbyNH1.p001,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,7,urn:cite:botcar:CatesbyNH1.p002,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,8,urn:cite:botcar:CatesbyNH1.p003,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,9,urn:cite:botcar:CatesbyNH1.p004,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,10,urn:cite:botcar:CatesbyNH1.p005,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,11,urn:cite:botcar:CatesbyNH1.p006,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,12,urn:cite:botcar:CatesbyNH1.p007,recto,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
CatesbyNH1,13,urn:cite:botcar:CatesbyNH1.p008,verso,"Mark Catesby, F.R.S., The Natural History of Carolina, Florida, and the Bahama Islands, vol. 1 (1754)",urn:cite:botcar:codex.CatesbyNH1
