URN	tsn	scientificName	speciesURN	name	genusURN	familyURN	collectionDate	folioURN	ROI
urn:cite:botcar:lordSpecimens.1	17066	_Selaginella apoda_ (L.) Spring	urn:cite:botcar:species.Selaginellaapoda	Joseph Lord, Specimen 1	urn:cite:botcar:genus.Selaginella	urn:cite:botcar:family.Selaginellaceae	none	urn:cite:botcar:LordFolios.HS158_005	urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.2022,0.0848,0.4825,0.165
urn:cite:botcar:lordSpecimens.2	899165	_Dendrolycopodium obscurum_ (L.) A. Haines	urn:cite:botcar:species.Dendrolycopodiumobscurum	Joseph Lord, Specimen 2	urn:cite:botcar:genus.Dendrolycopodium	urn:cite:botcar:family.Lycopodiaceae	none	urn:cite:botcar:LordFolios.HS158_005	urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.6917,0.1014,0.2843,0.2956
urn:cite:botcar:lordSpecimens.3	503604	_Lycopodiella appressa_ (Chapman) Cranfill	urn:cite:botcar:species.Lycopodiellaappressa	Joseph Lord, Specimen 3	urn:cite:botcar:genus.Lycopodiella	urn:cite:botcar:family.Lycopodiaceae	1707-12-12	urn:cite:botcar:LordFolios.HS158_005	urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.1351,0.3095,0.5746,0.4924
urn:cite:botcar:lordSpecimens.4	17675	_Polystichum acrostichoides_ (Michx.) Schott	urn:cite:botcar:species.Polystichumacrostichoides	Joseph Lord, Specimen 4	urn:cite:botcar:genus.Polystichum	urn:cite:botcar:family.Dryopteridaceae	none	urn:cite:botcar:LordFolios.HS158_016	urn:cite:fufolioimg:BotCarLord.Lord_HS158_016_2376@0.0921,0.0292,0.8228,0.784
urn:cite:botcar:lordSpecimens.5	504451	_Pleopeltis polypodioides_ (L.) E.G. Andrews & Windham ssp. _michauxiana_ (Weatherby) E.G. Andrews & Windham	urn:cite:botcar:species.Pleopeltispolypodioides	Joseph Lord, Specimen 5	urn:cite:botcar:genus.Pleopeltis	urn:cite:botcar:family.Polypodiaceae	none	urn:cite:botcar:LordFolios.HS158_016	urn:cite:fufolioimg:BotCarLord.Lord_HS158_016_2376@0.0891,0.6395,0.3153,0.228
urn:cite:botcar:lordSpecimens.6	17540	_Dryopteris ludoviciana_ (Kunze) Small	urn:cite:botcar:species.Dryopterisludoviciana	Joseph Lord, Specimen 6	urn:cite:botcar:genus.Dryopteris	urn:cite:botcar:family.Dryopteridaceae	none	urn:cite:botcar:LordFolios.HS158_017	urn:cite:fufolioimg:BotCarLord.Lord_HS158_017_2377@0.2292,0.0311,0.5596,0.8681
urn:cite:botcar:lordSpecimens.7	17355	_Asplenium platyneuron_ (L.) BSP	urn:cite:botcar:species.Aspleniumplatyneuron	Joseph Lord, Specimen 7	urn:cite:botcar:genus.Asplenium	urn:cite:botcar:family.Aspleniaceae	1707-12-12	urn:cite:botcar:LordFolios.HS158_018	urn:cite:fufolioimg:BotCarLord.Lord_HS158_018_2378@0.3894,0.061,0.5405,0.5275
urn:cite:botcar:lordSpecimens.8	17641	_Pellaea atropurpurea_ (L.) Link	urn:cite:botcar:species.Pellaeaatropurpurea	Joseph Lord, Specimen 8	urn:cite:botcar:genus.Pellaea	urn:cite:botcar:family.Pteridaceae	none	urn:cite:botcar:LordFolios.HS158_018	urn:cite:fufolioimg:BotCarLord.Lord_HS158_018_2378@0.1021,0.5573,0.4164,0.3678
urn:cite:botcar:lordSpecimens.9	29986	_Gentiana saponaria_ L.	urn:cite:botcar:species.Gentianasaponaria	Joseph Lord, Specimen 9	urn:cite:botcar:genus.Gentiana	urn:cite:botcar:family.Gentianaceae	1707-11-08	urn:cite:botcar:LordFolios.HS158_213	urn:cite:fufolioimg:BotCarLord.Lord_HS158_213_2379@0.0871,0.0716,0.4885,0.6673
urn:cite:botcar:lordSpecimens.33	29986	_Gentiana saponaria_ L.	urn:cite:botcar:species.Gentianasaponaria	Joseph Lord, Specimen 33	urn:cite:botcar:genus.Gentiana	urn:cite:botcar:family.Gentianaceae	1707-12-12	urn:cite:botcar:LordFolios.HS158_213	urn:cite:fufolioimg:BotCarLord.Lord_HS158_213_2379@0.0891,0.5235,0.4975,0.3757
