familyURN,label,familyName,tsn
urn:cite:botcar:family.Acanthaceae,"*Acanthaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Acanthaceae,tsn:34350
urn:cite:botcar:family.Altingiaceae,"*Altingiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Altingiaceae,tsn:895195
urn:cite:botcar:family.Amaryllidaceae,"*Amaryllidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Amaryllidaceae,tsn:182703
urn:cite:botcar:family.Anacardiaceae,"*Anacardiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Anacardiaceae,tsn:28771
urn:cite:botcar:family.Apiaceae,"*Apiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Apiaceae,tsn:500042
urn:cite:botcar:family.Apocynaceae,"*Apocynaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Apocynaceae,tsn:30124
urn:cite:botcar:family.Aquifoliaceae,"*Aquifoliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Aquifoliaceae,tsn:27979
urn:cite:botcar:family.Aristolochiaceae,"*Aristolochiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Aristolochiaceae,tsn:18327
urn:cite:botcar:family.Aspleniaceae,"*Aspleniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Aspleniaceae,tsn:500044
urn:cite:botcar:family.Asteraceae,"*Asteraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Asteraceae,tsn:35420
urn:cite:botcar:family.Athyriaceae,"*Athyriaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Athyriaceae,"tsn: to be added"
urn:cite:botcar:family.Balsaminaceae,"*Balsaminaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Balsaminaceae,tsn:29180
urn:cite:botcar:family.Berberidaceae,"*Berberidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Berberidaceae,tsn:18811
urn:cite:botcar:family.Betulaceae,"*Betulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Betulaceae,tsn:19465
urn:cite:botcar:family.Bignoniaceae,"*Bignoniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.",Bignoniaceae,tsn:34305
