familyURN	label	familyName	tsn
urn:cite:botcar:family.Acanthaceae	*Acanthaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Acanthaceae	34350
urn:cite:botcar:family.Altingiaceae	*Altingiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Altingiaceae	895195
urn:cite:botcar:family.Amaryllidaceae	*Amaryllidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Amaryllidaceae	182703
urn:cite:botcar:family.Anacardiaceae	*Anacardiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Anacardiaceae	28771
urn:cite:botcar:family.Apiaceae	*Apiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Apiaceae	500042
urn:cite:botcar:family.Apocynaceae	*Apocynaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Apocynaceae	30124
urn:cite:botcar:family.Aquifoliaceae	*Aquifoliaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Aquifoliaceae	27979
urn:cite:botcar:family.Aristolochiaceae	*Aristolochiaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Aristolochiaceae	18327
urn:cite:botcar:family.Aspleniaceae	*Aspleniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Aspleniaceae	500044
urn:cite:botcar:family.Asteraceae	*Asteraceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Asteraceae	35420
urn:cite:botcar:family.Athyriaceae	*Athyriaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Athyriaceae	17408
urn:cite:botcar:family.Balsaminaceae	*Balsaminaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Balsaminaceae	29180
urn:cite:botcar:family.Berberidaceae	*Berberidaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Berberidaceae	18811
urn:cite:botcar:family.Betulaceae	*Betulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Betulaceae	19465
urn:cite:botcar:family.Bignoniaceae	*Bignoniaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Bignoniaceae	34305
urn:cite:botcar:family.Blechnaceae	*Blechnaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Blechnaceae	17861
urn:cite:botcar:family.Boraginaceae	*Boraginaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Boraginaceae	31633
urn:cite:botcar:family.Brassicaceae	*Brassicaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Brassicaceae	22669
urn:cite:botcar:family.Calycanthaceae	*Calycanthaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Calycanthaceae	18138
urn:cite:botcar:family.Campanulaceae	*Campanulaceae*: Family categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN IDs.	Campanulaceae	34471
