genusURN,genusName,label,tsn,familyURN
urn:cite:botcar:genus.Acer,Acer,*Acer*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28727,urn:cite:botcar:family.Sapindaceae
urn:cite:botcar:genus.Actaea,Actaea,*Actaea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18721,urn:cite:botcar:family.Ranunculaceae
urn:cite:botcar:genus.Agalinis,Agalinis,*Agalinis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:33006,urn:cite:botcar:family.Orobanchaceaenchaceae
urn:cite:botcar:genus.Aletris,Aletris,*Aletris*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42767,urn:cite:botcar:family.Nartheciaceae
urn:cite:botcar:genus.Allium,Allium,*Allium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42634,urn:cite:botcar:family.Amaryllidaceae
urn:cite:botcar:genus.Amianthium,Amianthium,*Amianthium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:42774,urn:cite:botcar:family.Melanthiaceae
urn:cite:botcar:genus.Amorpha,Amorpha,*Amorpha*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25367,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Ampelaster,Ampelaster,*Ampelaster*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:500891,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Ampelopsis,Ampelopsis,*Ampelopsis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:28630,urn:cite:botcar:family.Vitaceae
urn:cite:botcar:genus.Amsonia,Amsonia,*Amsonia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30130,urn:cite:botcar:family.Apocynaceae
urn:cite:botcar:genus.Andropogon,Andropogon,*Andropogon*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:40450,urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Angelica,Angelica,*Angelica*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:29431,urn:cite:botcar:family.Apiaceae
urn:cite:botcar:genus.Apios,Apios,*Apios*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25389,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Apocynum,Apocynum,*Apocynum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30155,urn:cite:botcar:family.Apocynaceae
urn:cite:botcar:genus.Arnoglossum,Arnoglossum,*Arnoglossum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:36582,urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Asarum,Asarum,*Asarum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:18351,urn:cite:botcar:family.Aristolochiaceae
urn:cite:botcar:genus.Asclepias,Asclepias,*Asclepias*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:30240,urn:cite:botcar:family.Apocynaceae
urn:cite:botcar:genus.Asplenium,Asplenium,*Asplenium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17333,urn:cite:botcar:family.Aspleniaceae
urn:cite:botcar:genus.Astragalus,Astragalus,*Astragalus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:25392,urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Athyrium,Athyrium,*Athyrium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:17408,urn:cite:botcar:family.Athyriaceae
urn:cite:botcar:genus.Bacopa,Bacopa,*Bacopa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:33037,urn:cite:botcar:family.Plantaginaceae
urn:cite:botcar:genus.Baptisia,Baptisia,*Baptisia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.,tsn:26466,urn:cite:botcar:family.Fabaceae
