URN	genusName	label	tsn	familyURN
urn:cite:botcar:genus.Bidens	Bidens	*Bidens*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	35705	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Carex	Carex	*Carex*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	39369	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Cenchrus	Cenchrus	*Cenchrus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	40569	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Echinochloa	Echinochloa	*Echinochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	40667	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Eleocharis	Eleocharis	*Eleocharis*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	40010	urn:cite:botcar:family.Cyperaceae
urn:cite:botcar:genus.Eupatorium	Eupatorium	*Eupatorium*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	35977	urn:cite:botcar:family.Asteraceae
urn:cite:botcar:genus.Galactia	Galactia	*Galactia*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	26683	urn:cite:botcar:family.Fabaceae
urn:cite:botcar:genus.Ipomoea	Ipomoea	*Ipomoea*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	30758	urn:cite:botcar:family.Convolvulaceae
urn:cite:botcar:genus.Lamiaceae	Lamiaceae	*Lamiaceae*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	32251	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Leptochloa	Leptochloa	*Leptochloa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	41817	urn:cite:botcar:family.Poaceae
urn:cite:botcar:genus.Narcissus	Narcissus	*Narcissus*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	500435	urn:cite:botcar:family.Amaryllidaceae
urn:cite:botcar:genus.Nyssa	Nyssa	*Nyssa*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	27820	urn:cite:botcar:family.Nyssaceae
urn:cite:botcar:genus.Pycnanthemum	Pycnanthemum	*Pycnanthemum*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	32650	urn:cite:botcar:family.Lamiaceae
urn:cite:botcar:genus.Spermacoce	Spermacoce	*Spermacoce*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	35239	urn:cite:botcar:family.Rubiaceae
urn:cite:botcar:genus.Stylosanthes	Stylosanthes	*Stylosanthes*: Genus categorized by the editors of Botanica Caroliniana in 2013 following www.itis.gov TSN Ids.	26972	urn:cite:botcar:family.Fabaceae
