URN,caption,rights
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_blank_0338","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_felt_0356","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_folder_0339","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_folder_0372","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_folder_0377","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I1_0402","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I1_0403","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I2_0404","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I3_0405","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I3_0406","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I4_5_0401","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_East_West_FL_I6_7_0396","William Bartram, Plants gathered by William Bartram, East and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution, NonCommercial, ShareAlike 3.0 Unported License."
