URN,caption,rights
urn:cite:fufolioimg:michauxParis.michx_01_01,"André Michaux Specimen 01 01, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_02,"André Michaux Specimen 01 02, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_03,"André Michaux Specimen 01 03, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_03a,"André Michaux Specimen 01 03a, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_03b,"André Michaux Specimen 01 03b, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_03label,"André Michaux Specimen 01 03label, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_04,"André Michaux Specimen 01 04, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_05,"André Michaux Specimen 01 05, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_06,"André Michaux Specimen 01 06, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07,"André Michaux Specimen 01 07, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07a,"André Michaux Specimen 01 07a, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07b,"André Michaux Specimen 01 07b, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07c,"André Michaux Specimen 01 07c, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07f,"André Michaux Specimen 01 07f, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07g,"André Michaux Specimen 01 07g, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_07h,"André Michaux Specimen 01 07h, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_08,"André Michaux Specimen 01 08, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_09,"André Michaux Specimen 01 09, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_10,"André Michaux Specimen 01 10, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_10a,"André Michaux Specimen 01 10a, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_10b,"André Michaux Specimen 01 10b, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_10c,"André Michaux Specimen 01 10c, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_11,"André Michaux Specimen 01 11, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_12,"André Michaux Specimen 01 12, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_12b,"André Michaux Specimen 01 12b, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_13,"André Michaux Specimen 01 13, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
urn:cite:fufolioimg:michauxParis.michx_01_14,"André Michaux Specimen 01 14, Jardin des Plantes, Paris.","Copyright 2014, Furman University Department of Classics, CC, NC, BY 3.0 license. Photographed with the kind cooperation of the Jardin des Plantes, Muséum national d’histoire naturelle, Paris."
