"Name"	"URN"	"folioURN"	"ROI"	"LabelText"
"Joseph Lord's specimen labels: 158-5. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_5"	"urn:cite:botcar:LordFolios.HS158_005"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_005_2375@0.1481,0.6872,0.5586,0.0762"	"This is a kind of Ground Moss: Or at least, it grows among it. It is green, I think, all the year: Or if die any time of year, it is at Midsummer. It was Gathered Dec. 12, 1707. It grows in wet mossy ground. Job. Lord."
"Joseph Lord's specimen labels: 158-16. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_16"	"urn:cite:botcar:LordFolios.HS158_016"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_016_2376@0.6126,0.4221,0.2492,0.2584"	"Lonchitis; or, rough spleenwort. This seems to be one sort of it. It grows in our swamps &amp; low ground: is green here all winter, as well as summer. I have seen some of the leaves near two foot in length, &amp; with such specks of dust as Ceterach has; but it is rare to find that."
"Joseph Lord's specimen labels: 158-17. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_17"	"urn:cite:botcar:LordFolios.HS158_017"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_017_2377@0.2873,0.5116,0.4995,0.1312"	"A sort of Fern, that is green with us all the year. If I mistake not, it was the root of this with which an Indian trader told me that he cured himself of the Lame distemper (as it is here called): But what is, it is hard to know. For some call Lues Venerea so; others call another Distemper which is more than ordinary Malignant Scurvey. Job.  Lord."
"Joseph Lord's specimen labels: 158-18. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_18"	"urn:cite:botcar:LordFolios.HS158_018"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_018_2378@0.3874,0.3545,0.4174,0.2306"	"Asplenium, or Ceterach. Smooth Spleen-wort. This Grew out of the sides of a well; but it grows also in our swamp &amp; wet grounds, upon logs that are covered with Moss &amp; rotten, &amp; also upon Hassocks that are mossy; But seldom so large as these leaves are. It is to be found green most part of the year. Gathered, Dec. 12, 1707.  "
"Joseph Lord's specimen labels: 158-13a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_13a"	"urn:cite:botcar:LordFolios.HS158_013"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_213_2379@0.0661,0.171,0.4855,0.0921"	"I take this to be the first Gentian of Culpper's Description in his English Physician. It has it's flowers usually at the top of the Stalks sometimes 6 to 7 together; But some creature had bit off the top of this; which occasioned that flower to grow as you see. It is found beginning to blossom at the middle of October, &amp; continues in flower, til the frost kills the leaves &amp; stalk which was not this year till the middle of December.  This gathered, Nov. 8, 1707."
"Joseph Lord's specimen labels: 158-213b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_213b"	"urn:cite:botcar:LordFolios.HS158_213"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_213_2379@0.0661,0.171,0.4855,0.0921"	"The Root of that Gentian, the Stalk &amp; flower whereof is in the Box. Gathered Dec. 12, 1707"
"Joseph Lord's specimen labels: 158-245. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.158_245"	"urn:cite:botcar:LordFolios.HS158_245"	"urn:cite:fufolioimg:BotCarLord.Lord_HS158_245_2381@0.1371,0.7058,0.4885,0.0736"	"This grows in low &amp; wet ground by brooks. It is in flower late in October. The leaves grow two &amp; two, not usually making a cross as in this, yet one Couple standing cross to the next from bottom to top."
"Joseph Lord's specimen labels: 267-74. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.267_74"	"urn:cite:botcar:LordFolios.HS267_074"	"urn:cite:fufolioimg:BotCarLord.Lord_HS267_074_2251@0.5285,0.1557,0.2853,0.0775"	"This is the same plant I formerly sent the root whereof an Indian commended against the biting of the rattle-snake; but then it was not in the seed, as now, Sept.  27, 1704.  "
"Joseph Lord's specimen labels: 268-1. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_1"	"urn:cite:botcar:LordFolios.HS268_001"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_001_2248@0.1632,0.6872,0.3634,0.1259"	"The root of this grass tastes somewhat like Pellitory of Spain, but I think a little more subtile, hot, &amp; Pierceing. Being used as a Masticatory it draws Rheum out of the Head, &amp; so cures the Tooth-ach, if it come of a watery or Phlegmatick Humor. I have infused it in Purges for the Dropsy &amp; find it Powerfully to Provoke Urine.  Gathered Sept. 29, 1704. The place of its growth, is among little bunches of bushes that grow in the moist parts of our Savanna &amp; sometimes is found growing among other grass, tho there be no bushes."
"Joseph Lord's specimen labels: 268-3. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_3"	"urn:cite:botcar:LordFolios.HS268_003"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_003_2255@0.2062,0.281,0.3073,0.1418"	"This rushy plant, with a triangular stalk had no companion of it's own kind, for which cause you have but one stalk. Gathered Aug. 15, 1704. In wet, low, ground."
"Joseph Lord's specimen labels: 268-5a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_5a"	"urn:cite:botcar:LordFolios.HS268_005"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_005_detail_2257@0.3213,0.4592,0.3393,0.0928"	"This grows in Savannas &amp; such like moist grassy places. Gathered, June 5 1704."
"Joseph Lord's specimen labels: 268-5b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_5b"	"urn:cite:botcar:LordFolios.HS268_005"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_005_2256@0.3784,0.662,0.2973,0.0689"	"This was gathered, June 5th, in a moist, but not fenny Savanna Ground."
"Joseph Lord's specimen labels: 268-7. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_7"	"urn:cite:botcar:LordFolios.HS268_007"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_007_2258@0.1742,0.8118,0.3053,0.0716"	"This is very common in our low, wet, &amp; grassy Lands, Gathered, Aug. 15, 1704. It is near about a month since I saw some of it in flower."
"Joseph Lord's specimen labels: 268-9a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_9a"	"urn:cite:botcar:LordFolios.HS268_009"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.016,0.4652,0.2503,0.108"	"This grows in high &amp; dry ground. Gathered about the middle of July. The flower is of a brownish color, very small, &amp; appearing out of little husks as if it were seed."
"Joseph Lord's specimen labels: 268-9b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_9b"	"urn:cite:botcar:LordFolios.HS268_009"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.3233,0.33,0.3053,0.0795"	"This Rushy Grass, or Grassy Rush, grows in wet Ground.  Gathered near the beginning of May 1704. It seems to be too short for your Randalia Mariana. There is another Rush with somewhat a larger white head, which I intend before long to get Specimens of."
"Joseph Lord's specimen labels: 268-9c. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_9c"	"urn:cite:botcar:LordFolios.HS268_009"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_009_2260@0.3233,0.33,0.3053,0.0795"	"I suppose this may be your Randalia Mariana Procerior.  It grows in Savannas &amp; such like moist grassy places, gathered, Jun. 5, 1704."
"Joseph Lord's specimen labels: 268-13. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_13"	"urn:cite:botcar:LordFolios.HS268_013"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_013_2263@0.2302,0.4573,0.4885,0.1332"	"this I supposed to be a Ragweed, till I took notice of your two ???cea's of Carolina (932, 933); which if they be the plants that I guess them to be, seem to be of the same tribe with this. It's flower is yellow somewhat smaller than those of the ordinary Sow-thistle, of the same color &amp; shape. There issues out of it a yellowish milk there were some flowers full blown when I gathered it, Sept. 7, 1704, in high dry Land."
"Joseph Lord's specimen labels: 268-15. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_15"	"urn:cite:botcar:LordFolios.HS268_015"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_013_2263@0.2302,0.4573,0.4885,0.1332"	"This seems to be an Hieracium. Gathered (one plant) about the first or 2nd day of Aug. 1704 in weedy ground near the edge of a Savanna; which is the place it mostly grows in. Another (if it be not a differing sort) which has the knobbed Root &amp; no such bunch of leaves near the root, gathered, Sept. 12. "
"Joseph Lord's specimen labels: 268-17. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_17"	"urn:cite:botcar:LordFolios.HS268_017"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_013_2263@0.2302,0.4573,0.4885,0.1332"	"This Plant has a milky juice. Gathered Sept. 12 1704 in low &amp; dry land."
"Joseph Lord's specimen labels: 268-19a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_19a"	"urn:cite:botcar:LordFolios.HS268_019"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_019_2269@0.1041,0.6203,0.2833,0.063"	"Mousear. It grows in moist grassy ground most usually; but is also found in woods, that are dryer. Gathered about the middle of May 1704."
"Joseph Lord's specimen labels: 268-19b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_19b"	"urn:cite:botcar:LordFolios.HS268_019"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_019_2269@0.5135,0.1723,0.3023,0.11"	"I am at a loss to what tribe to refer this Plant. It has narrow grass-like leaves, a yellow flower; one was full blown when I gathered it, which is now turned into a downy Head, round after the manner of Dandelion &amp; Hawkweed; it will, I suppose, be lost before it gets to you. Gathered, about May 6, 1704, in a piece of Ground that was newly cleared. I have seen it since by the High way side, but it is not common."
"Joseph Lord's specimen labels: 268-21. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_21"	"urn:cite:botcar:LordFolios.HS268_021"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_021_detail_2271@0.2533,0.3233,0.4935,0.3157"	"This I sent you in the Last Box, &amp; now send it again to show you that it is yet in Blossom, the whole plant &amp; root is full of milk. Gathered Jun. 15, 1704. The leaves of this are narrower than that I sent before."
"Joseph Lord's specimen labels: 268-23. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_23"	"urn:cite:botcar:LordFolios.HS268_023"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_019_2269@0.1041,0.6203,0.2833,0.063"	"This also grows in high dry land. Gathered abt beginning of October, 1704."
"Joseph Lord's specimen labels: 268-25. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_25"	"urn:cite:botcar:LordFolios.HS268_025"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_025_2273@0.1522,0.6899,0.3614,0.0577"	"This plant bears a reddish purple flower, which was blown when I gathered it, abt the beginning of October 1704.  Grows in high, dry land."
"Joseph Lord's specimen labels: 268-27. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_27"	"urn:cite:botcar:LordFolios.HS268_027"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_027_detail_2275@0.1662,0.7813,0.6086,0.1995"	"The flower of this was much of the same color (vix, par???), but differing in figure consisting of a yellow head set above a pole of such colored leaves as the other. Grows in high land. Gathered abt the beginning of October, 1704."
"Joseph Lord's specimen labels: 268-29a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_29a"	"urn:cite:botcar:LordFolios.HS268_029"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_029_2276@0.04,0.4076,0.3293,0.1677"	"These two small-flowered wild daisies (as I take them to be) I put together, as being gathered both in a Day; Viz, May 4th, 1703, in my Plantation by my house, which is an high light land. They are still in flower, May 23. The blew-flowered one is not so common as the other."
"Joseph Lord's specimen labels: 268-29b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_29b"	"urn:cite:botcar:LordFolios.HS268_029"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_029_2276@0.3443,0.5288,0.4014,0.3168"	"This is a troublesome weed in our Plantations &amp; Pastures. It's flower resembles that which we call Groundsel, several words crossed out which I intend to get &amp; send when it flowers (which will be, now, quickly); which it also resembles in smell. Gathered July 14, 1704."
"Joseph Lord's specimen labels: 268-33. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_33"	"urn:cite:botcar:LordFolios.HS268_033"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_033_2279@0.3133,0.727,0.4144,0.0716"	"This is of the Tribe, doubtless, of that which I have sent in this present box, of whose vertue against the biting of the rattle-snake I have made mention. Gathered, Sept. 19, in low, but dry, land.  "
"Joseph Lord's specimen labels: 268-35. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_35"	"urn:cite:botcar:LordFolios.HS268_035"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_035_2280@0.3363,0.5156,0.4585,0.1127"	"This (I think) I have sent you formerly without a name, as now it comes: but I desire you would please to let me know it's name. Besides that an Indian told me of it's use in feavers, its found to be Alexipharmacal, &amp; an admirable antidote against the Poison of Rattle-snakes in particular, conquering the Venom of their biteing. Gathered, Aug. 15, 1704, having been near a month in flower. It grows common in our woods, both in high &amp; low land. There are divers other plants growing commonly that seem to be varieties of this."
"Joseph Lord's specimen labels: 268-37. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_37"	"urn:cite:botcar:LordFolios.HS268_037"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_037_2281@0.042,0.8801,0.3493,0.0603"	"??? grows commonly in wet grassy land. Gathered, Sept.  29.  "
"Joseph Lord's specimen labels: 268-39a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_39a"	"urn:cite:botcar:LordFolios.HS268_039"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_039_2282@0.039,0.784,0.4825,0.0981"	"This grows commonly in Land somewhat moist as well as drier, Gathered Sept. 6, 1704."
"Joseph Lord's specimen labels: 268-39b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_39b"	"urn:cite:botcar:LordFolios.HS268_039"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_039_2282@0.4034,0.6945,0.3093,0.0828"	"This was gathered Aug. 4, 1704, in high land among bushes etc."
"Joseph Lord's specimen labels: 268-41. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_41"	"urn:cite:botcar:LordFolios.HS268_041"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_039_2282@0.039,0.784,0.4825,0.0981"	"If this plant do not continue all the winter green, it shoots up leaves early in the Spring &amp; a while after begins to shoot up a stalk. The first leaves are larger than any of these. The root (I think) continues many years. It flowers not till the summer is almost gone. The head out of which the flowers do shoot appears near a month before they bloom. You have many head not yet blown on this plant.  Gathered Sept. 7, 1704, in high dry land, &amp; grows both in wooddy ground and that which is cleared."
"Joseph Lord's specimen labels: 268-43a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_43a"	"urn:cite:botcar:LordFolios.HS268_043"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_043_2284@0.3473,0.6846,0.3724,0.0974"	"This grows for the most part, in wet grassy ground.  Gathered Sept. 12 or 13, 1704."
"Joseph Lord's specimen labels: 268-43b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_43b"	"urn:cite:botcar:LordFolios.HS268_043"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_043_2284@0.4264,0.4997,0.3854,0.0954"	"This Plant began to flower about a fortnight or three weeks ago. It grows in wet waterish places. It is now generally seeding. I may put in a specimen or two in the seed. June 15, 1704."
"Joseph Lord's specimen labels: 268-45. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_45"	"urn:cite:botcar:LordFolios.HS268_045"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_045_2286@0.1502,0.224,0.3714,0.1763"	"The leaves of this are smooth, of a pale green colour, at the bottom, as large as Bay leaves, but toward the top, the leaves are smaller with some harmless prickles on them. The Heads, you may see, are like thistles; &amp; so are the flowers somewhat like them, of a pale blew &amp; some almost white. They grow in low ground by swampsides etc. Gathered June 14."
"Joseph Lord's specimen labels: 268-47. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_47"	"urn:cite:botcar:LordFolios.HS268_047"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_047_2288@0.4645,0.5275,0.2803,0.0755"	"This was gathered Aug. 4, 1704. In high dry land; which is the land it usually grows in, under the sides of fences(?) &amp; in such like places."
"Joseph Lord's specimen labels: 268-49. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_49"	"urn:cite:botcar:LordFolios.HS268_049"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_049_2289@0.0901,0.7217,0.5265,0.0921"	"This grows in such like ground as the former, gathered same time, Sept. 6."
"Joseph Lord's specimen labels: 268-51. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_51"	"urn:cite:botcar:LordFolios.HS268_051"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_051_2291@0.3694,0.7362,0.3644,0.1465"	"This grows plentifully in many places, but most usually in high dry land. Gathered June 15, 1704."
"Joseph Lord's specimen labels: 268-53. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_53"	"urn:cite:botcar:LordFolios.HS268_053"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_053_2292@0.1301,0.605,0.5145,0.1484"	"This sometimes grows six, seven, even eight feet high; gathered, Sept. 6, 1704, in a part of my plantation. It grows ordinarily about 4 or 5 feet high; it is commonly found in land meanly fruitfull, as well as that which is more fruitfull, both higher and lower. A Chirugeon shewed it me by the name of wood-gold, or wood-marigold; but others call it All-heal."
"Joseph Lord's specimen labels: 268-55. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_55"	"urn:cite:botcar:LordFolios.HS268_055"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_055_2294@0.0951,0.8363,0.5215,0.0835"	"This I gathered in my Pasture, in a good soil, Sept.  6, 1704, in land of a mean driness."
"Joseph Lord's specimen labels: 268-57. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_57"	"urn:cite:botcar:LordFolios.HS268_057"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_057_2295@0.3974,0.3539,0.3353,0.116"	"This is common in wet land. Gathered Sept. 29, 1704.  If I mistake it not it is a plant that springs out of the ground on single leap like Adders-tongue, but only without a tongue, &amp; as large as one of them that is next to the root in this."
"Joseph Lord's specimen labels: 268-59. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_59"	"urn:cite:botcar:LordFolios.HS268_059"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_059_2296@0.4695,0.6083,0.3023,0.1716"	"This plant is plentiful in most sorts of ground.  Gathered June 15, 1704."
"Joseph Lord's specimen labels: 268-61. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_61"	"urn:cite:botcar:LordFolios.HS268_061"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_061_2298@0.5025,0.1252,0.2873,0.1213"	"This plant is remarkable in its stalk &amp; leaves. It grows pretty frequently in lanes somewhat low by fence sides &amp; among bushes. Gathered Aug. 4, 1704. Its height was near six feet; but commonly it is 4 or 5."
"Joseph Lord's specimen labels: 268-63a. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_63a"	"urn:cite:botcar:LordFolios.HS268_063"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_063_2300@0.006,0.5918,0.5215,0.0709"	"This is our Countrey Agrimony, whose root has many clogs hanging from it by Strings; in which I suppose it to differ from that in Europe; for that I never read of any such clogs in any description thereof that I have met with.  Gathered, Sept. 6, 1704, in a good soil."
"Joseph Lord's specimen labels: 268-63b. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_63b"	"urn:cite:botcar:LordFolios.HS268_063"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_063_2300@0.01,0.6932,0.3373,0.2134"	"This goes for Agrimony, &amp; I can find no reason to question it only that Authors make no mention of those ??? at it's roots which that has. It was gathered in the beginning of April 1705, &amp; grows in good soils, where the earth is light.  If you think it not to be Agrimony send word what it is, if you please."
"Joseph Lord's specimen labels: 268-65. Transcribed by A. Blackwell"	"urn:cite:botcar:lordLabels.268_65"	"urn:cite:botcar:LordFolios.HS268_065"	"urn:cite:fufolioimg:BotCarLord.Lord_HS268_065_2304@0.0831,0.0331,0.3443,0.0888"	"This Plant seems to be a Sideritis, or Iron-wort. It grows in grassy land, where the soil is good, &amp; usually in places somewhat moist. Gathered, July 13, 1704, when some plants of it had been in flower near a month."
