speciesURN,tsn,familyURN,genusURN,scientificName,label
urn:cite:botcar:species.Acernegundo,tsn:28749,urn:cite:botcar:family.Sapindaceae,urn:cite:botcar:genus.Acer,"Acer negundo L.","**Acer negundo L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Acerrubrum,tsn:28728,urn:cite:botcar:family.Sapindaceae,urn:cite:botcar:genus.Acer,"Acer rubrum L. var. rubrum","**Acer rubrum L. var. rubrum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Acersaccharinum,tsn:28757,urn:cite:botcar:family.Sapindaceae,urn:cite:botcar:genus.Acer,"Acer saccharinum L.","**Acer saccharinum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Actaearacemosa,tsn:821148,urn:cite:botcar:family.Ranunculaceae,urn:cite:botcar:genus.Actaea,"Actaea racemosa L.","**Actaea racemosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Agalinispurpurea,tsn:33007,urn:cite:botcar:family.Orobanchaceaenchaceae,urn:cite:botcar:genus.Agalinis,"Agalinis purpurea (L.) Pennell","**Agalinis purpurea (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Aletrisaurea,tsn:42768,urn:cite:botcar:family.Nartheciaceae,urn:cite:botcar:genus.Aletris,"Aletris aurea Walter","**Aletris aurea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Alliumcuthbertii,tsn:42696,urn:cite:botcar:family.Amaryllidaceae,urn:cite:botcar:genus.Allium,"Allium cuthbertii Small","**Allium cuthbertii Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Amianthiummuscitoxicum,tsn:42775,urn:cite:botcar:family.Melanthiaceae,urn:cite:botcar:genus.Amianthium,"Amianthium muscitoxicum (Walter) A. Gray","**Amianthium muscitoxicum (Walter) A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Amorphaglabra,tsn:25376,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Amorpha,"Amorpha glabra Desf. ex Poir.","**Amorpha glabra Desf. ex Poir.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Amorphaherbacea,tsn:25377,urn:cite:botcar:family.Fabaceae,urn:cite:botcar:genus.Amorpha,"Amorpha herbacea Walter","**Amorpha herbacea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
urn:cite:botcar:species.Ampelastercarolinianus,tsn:507577,urn:cite:botcar:family.Asteraceae,urn:cite:botcar:genus.Ampelaster,"Ampelaster carolinianus (Walter) G.L. Nesom","**Ampelaster carolinianus (Walter) G.L. Nesom**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014."
