speciesURN	tsn	familyURN	genusURN	scientificName	label
urn:cite:botcar:species.Acernegundo	28749	urn:cite:botcar:family.Sapindaceae	urn:cite:botcar:genus.Acer	Acer negundo L.	**Acer negundo L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Acerrubrum	28728	urn:cite:botcar:family.Sapindaceae	urn:cite:botcar:genus.Acer	Acer rubrum L. var. rubrum	**Acer rubrum L. var. rubrum**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Acersaccharinum	28757	urn:cite:botcar:family.Sapindaceae	urn:cite:botcar:genus.Acer	Acer saccharinum L.	**Acer saccharinum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Actaearacemosa	821148	urn:cite:botcar:family.Ranunculaceae	urn:cite:botcar:genus.Actaea	Actaea racemosa L.	**Actaea racemosa L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aesculuspavia	28723	urn:cite:botcar:family.Sapindaceae	urn:cite:botcar:genus.Aesculus	Aesculus pavia L.	**Aesculus pavia L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Agalinislinifolia	33028	urn:cite:botcar:family.Orobanchaceae	urn:cite:botcar:genus.Agalinis	Agalinis linifolia (Nuttall) Britton	**Agalinis linifolia (Nuttall) Britton**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Agalinispurpurea	33007	urn:cite:botcar:family.Orobanchaceaenchaceae	urn:cite:botcar:genus.Agalinis	Agalinis purpurea (L.) Pennell	**Agalinis purpurea (L.) Pennell**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ageratinaaromatica	36467	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Ageratina	Ageratina aromatica (L.) Spach	**Ageratina aromatica (L.) Spach**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Agrimoniamicrocarpa	25097	urn:cite:botcar:family.Rosaceae	urn:cite:botcar:genus.Agrimonia	Agrimonia microcarpa Wallroth	**Agrimonia microcarpa Wallroth**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Aletrisaurea	42768	urn:cite:botcar:family.Nartheciaceae	urn:cite:botcar:genus.Aletris	Aletris aurea Walter	**Aletris aurea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Alliumcuthbertii	42696	urn:cite:botcar:family.Amaryllidaceae	urn:cite:botcar:genus.Allium	Allium cuthbertii Small	**Allium cuthbertii Small**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Amianthiummuscitoxicum	42775	urn:cite:botcar:family.Melanthiaceae	urn:cite:botcar:genus.Amianthium	Amianthium muscitoxicum (Walter) A. Gray	**Amianthium muscitoxicum (Walter) A. Gray**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Amorphaglabra	25376	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Amorpha	Amorpha glabra Desf. ex Poir.	**Amorpha glabra Desf. ex Poir.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Amorphaherbacea	25377	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Amorpha	Amorpha herbacea Walter	**Amorpha herbacea Walter**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ampelastercarolinianus	507577	urn:cite:botcar:family.Asteraceae	urn:cite:botcar:genus.Ampelaster	Ampelaster carolinianus (Walter) G.L. Nesom	**Ampelaster carolinianus (Walter) G.L. Nesom**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Ampelopsisarborea	28631	urn:cite:botcar:family.Vitaceae	urn:cite:botcar:genus.Ampelopsis	Ampelopsis arborea (L.) Koehne	**Ampelopsis arborea (L.) Koehne**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Amsoniatabernaemontana	30148	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Amsonia	Amsonia tabernaemontana Walter var. tabernaemontana	**Amsonia tabernaemontana Walter var. tabernaemontana**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Andropogontenuispatheus	565857	urn:cite:botcar:family.Poaceae	urn:cite:botcar:genus.Andropogon	Andropogon tenuispatheus (Nash) Nash	**Andropogon tenuispatheus (Nash) Nash**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Angelicavenenosa	29453	urn:cite:botcar:family.Apiaceae	urn:cite:botcar:genus.Angelica	Angelica venenosa (Greenway) Fernald	**Angelica venenosa (Greenway) Fernald**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Apiosamericana	25390	urn:cite:botcar:family.Fabaceae	urn:cite:botcar:genus.Apios	Apios americana Medikus	**Apios americana Medikus**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
urn:cite:botcar:species.Apocynumcannabinum	30157	urn:cite:botcar:family.Apocynaceae	urn:cite:botcar:genus.Apocynum	Apocynum cannabinum L.	**Apocynum cannabinum L.**: Species name identified and classified by P. McMillan and A. Hackney Blackwell, 2014.
